mode1_gene,mode1_loading,mode2_gene,mode2_loading,mode3_gene,mode3_loading,mode4_gene,mode4_loading,mode5_gene,mode5_loading
tyrT,0.2901867345774398,hscA,-0.08652241627152626,narI,-0.08891976361892577,hisI,-0.07038042313161429,yhbU,0.0740764436674377
aspv,0.2740976341012278,truB,-0.08646711876903668,yciC,-0.08744834211105328,msrB,-0.06988882394592225,dgoT,0.07111810309678594
alaw,0.260486138968047,can,-0.08391303245242171,rfaC,-0.07835204232241189,ydfC,-0.06897211711331909,yieF,0.07096906993818897
serV,0.24527099339018915,yiaD,0.08287910471753551,flgM,-0.07597256174456218,sucC,-0.0686288689462805,nanR,0.0708994201985622
tff,-0.2309904475733298,ulaE,-0.08197179380037527,ygfM,0.07144378043276173,lpxD,0.06748265581692457,ynbB,-0.07012694090490262
csrb,-0.17271524248939346,yeaW,-0.07884007702661674,gapC,0.07111390995847361,ybjP,0.06525269807345853,rem,-0.06947140102773566
rrfB,0.16765526003048922,ygiH,-0.07530321573053846,cstA,0.07102731598342206,ynfL,-0.06469433151572412,entB,-0.0689974439470415
kanR,-0.15433955912356784,xylR,0.07144459441707095,efp,-0.06879590008833833,araB,-0.06455899993210139,yagY,0.06623362006560642
thrU---thrToperon,-0.11833047972428898,lamB,-0.07112155558227691,dacD,0.06870020041372554,yddM,-0.06353018823477254,yihS,0.06575319144899569
mCherry,-0.11499990601341892,astC,-0.07086989793061595,yigL,-0.06833763302019151,yegQ,-0.06220178884080698,yafP,-0.06513063860471542
tetR,-0.10369719325648649,mdlA,-0.06958122332240284,obgE,0.06660883717911173,fadE,-0.061994795535903285,yliK,-0.06441346657609617
INTR_alaXW,-0.08006462304218545,yhjX,-0.06810174587655546,ydhY,-0.0662209452953962,cysJ,0.0606194010575933,viaA,-0.06363610512678672
vapC,-0.06198810635785314,aegA,0.0678151086179756,ypdF,-0.06617943708413299,ydhB,0.06055539376951685,ycfQ,0.06333394959286104
ydfK,-0.056545505216147575,ychE,0.0663473296129432,yafQ,0.06560159763950713,ispG,-0.06015239978624169,lpcA,-0.06306866142318271
lysT--lysQoperon,-0.05621823622549932,nrdF,-0.06622361930140656,ypeC,-0.06543621254442364,yfjR,0.060034367632761,nadB,0.06290717348867596
suhB,-0.046588541302415666,fsaB,-0.06560464712742964,yjhU,0.06512387405447756,rsmC,-0.059978152224747595,napC,-0.061643859862770434
purA,-0.046184736237831155,ldrD,0.06523745219104445,erfK,0.06505827851970294,fabD,0.059884452745503275,eaeH,-0.061525460552770514
ihfA,0.04533340550905798,yeiM,-0.0639267288420831,yhbW,-0.06486531946268084,yidA,-0.059262958497773494,yjaG,0.061090296562443365
fldA,-0.04299927291094382,nfsA,-0.06349760472272623,ybdZ,0.06450672071187628,yjeS,0.058511122386110045,ccmA,-0.060637331331344135
yafL,-0.04154540774853699,flgL,-0.06335160393863527,ycgZ,-0.06370547916264796,yghG,-0.05799924831677735,nhoA,0.060555753328523414
ydhQ,-0.04088376298723526,norV,-0.0631432587747505,mhpD,-0.05988417344703137,yadH,0.05753884895613794,rbsD,0.06033473537847254
ligB,-0.04032305231521179,yagP,-0.06298309115616485,envZ,0.059629442499450847,melA,-0.057134556624470444,yfgI,-0.05994334792763396
paaG,-0.039440366856754866,csgF,-0.06116571105363747,yidZ,-0.05921997563242546,fadJ,-0.0566392185327596,elaA,0.05947204870612731
rraB,-0.03912664163302898,yjcQ,0.06039178853176517,yahC,-0.05890928351716696,cspE,-0.05663384191464282,csgB,-0.058946270961566134
aceF,-0.03910173566499746,garK,-0.05968413199478255,rseA,-0.058610550371063476,xylE,0.05572940348176591,gpp,0.058445420245622534
ybdM,-0.03898021905435225,hslJ,-0.05965196973164352,ispG,0.05825758102073025,deoD,-0.055724163682494623,accC,-0.057809626499973156
fxsA,-0.03880024590010638,gcvT,-0.05928117859987859,eptA,-0.058021195718050665,yfcF,-0.055617111361748656,smpA,-0.05767363820745306
yhjB,-0.03860022564351998,yfgL,0.05923691885779512,ygfA,-0.058001876501085264,appC,0.05538586539981989,yqaE,-0.057289026239646615
visC,-0.038232726537282095,yneH,-0.05855365079521425,yjhP,0.05782367942953172,guaA,-0.05528773836992354,rbsB,0.057018976860669375
trkG,-0.037934139816018425,wbbJ,-0.05849812793136987,ygcH,0.05757119005622756,ydeS,0.05528127399458539,ychQ,0.05691065311945219
