mode1_gene,mode1_loading,mode2_gene,mode2_loading,mode3_gene,mode3_loading,mode4_gene,mode4_loading,mode5_gene,mode5_loading
rplF,-0.11229820484475986,ybfC,0.23734318942186808,yjjZ,-0.19752057707794585,ydfR,-0.1986409756411254,ycaM,-0.23048914254269223
rplC,-0.10744825354664406,ade,0.2019756304021098,csgA,-0.18264830410034802,yccZ,-0.18446990943210423,glpC,-0.22169844315799922
rplL,-0.10658370019877987,phnB,0.19081319428861832,yicJ,-0.17128074750978955,yihF,-0.17046905614207603,adiA,-0.18658167159843217
rplA,-0.09852197805392054,yeiJ,0.18131388207390434,xdhB,-0.15690761840193057,yrfD,-0.1512060777130152,ydaF,-0.1657328346324473
rpsD,-0.09739927940200387,yjgI,0.17542753743171752,ydfR,-0.1499801764543596,yicJ,0.15037968179931852,paaH,-0.15367059079490886
rplD,-0.09688530392328683,ybhM,0.15488971429657136,yciA,-0.14647113893955685,xdhB,0.14555731686422668,yiaL,-0.1529718887529676
phnB,0.09360543884197688,ulaF,0.13830312777498655,yccZ,-0.13687418378712823,yagK,-0.12791140515325333,ytfF,-0.15236843456868568
rplP,-0.09243747975389152,yadM,0.1327801629292864,gnsB,-0.1304012366219469,ycgG,-0.12757492006356516,yniB,-0.14635193931225754
rplW,-0.09109445443239178,yghG,0.13159092924683266,yihF,-0.12983019657668038,yciA,0.12576687831667832,yhjJ,-0.13654649512122577
rplJ,-0.09082410813300339,phoE,0.13118725560763295,norW,-0.12895748756039715,norW,0.11699653522931008,argK,-0.1298350822484645
dps,0.09065285248597545,ynfE,0.12812772427020078,appY,-0.12223997066487889,gnsB,0.1155518352699203,thiL,-0.12012617604168006
rplI,-0.08973184511535515,yjhS,0.1261505990654363,yciE,-0.12033290123790982,csgA,0.11391613421232018,ydcK,-0.11878135258860616
rpsK,-0.08749191663240638,sgbU,0.12489229285732012,ybgS,-0.11818013674451247,ilvL,-0.11161355745099709,yhfW,-0.10980843699936058
rpoS,0.08573766982860201,yhjC,0.11600561149761278,mdtG,-0.11785435798691196,mdtG,0.10575644424775416,yicE,-0.10336773375340934
elaB,0.08514950231976699,yedN,0.11542533996946198,yegI,-0.11687783893735232,yffQ,-0.1057560998267788,emrD,-0.0990848911513593
rpmC,-0.08330468979469131,yffQ,0.11042183891271873,gutM,-0.11372089356044246,puuC,0.10440885707018181,glnH,-0.09785326108584061
rplX,-0.08171792871059357,yfdX,0.1090587890079036,yrfD,-0.1125308251799044,appY,0.10315161931992264,btuR,-0.09549125431225682
rpsE,-0.0814008722363371,lomR,0.10790151487489598,puuC,-0.10919773719172184,yciE,0.09621201380518067,degQ,-0.09465887596129573
rplB,-0.07981026534923441,emrD,0.10700180558821887,ycgG,-0.10805759722526183,yiaH,-0.09446456151742408,yhdW,-0.087121273980888
ytjA,0.0788994836770991,ansP,0.10262978289476983,csgD,-0.10729185327978613,cobT,-0.09429202351456235,intA,-0.08444499260417514
rplV,-0.07868585954708474,yfjT,0.10161561751918935,ygfO,-0.10316566914057565,ygcQ,-0.09293444915866676,elbB,-0.08324928423011915
priB,-0.0781330399098332,yodA,0.10095954163627416,cdh,-0.10289517049963111,frsA,0.09061922912397974,frc,-0.08147597104995671
osmY,0.07759818184440535,yghS,0.1003852620406891,frsA,-0.10105273929538167,gutM,0.08926248859559482,vacJ,-0.07997139607323352
rpsN,-0.07636035454798538,uxaB,0.10029396901920339,yagK,-0.09718447036840236,yegI,0.08888684818386844,cspI,-0.0798679988740562
rpmD,-0.07376093298543367,ygjP,0.09975775071827442,recN,-0.09445529179651585,ivy,-0.08715816068159385,tmk,-0.07827187127385568
ygjG,0.07365004867489235,yhbV,0.09954076283624816,ulaG,-0.09431655234977955,recN,0.0869269060562209,nfnB,-0.07754230141017417
rpsH,-0.07271396375654163,kdpE,0.09853083567484547,ykfC,-0.09136568655347986,gadE,-0.08561075061593132,pflA,-0.07549070532043138
hdeA,0.07229185549971126,gspI,0.0951231428952961,yaiX,-0.08764313061008353,yhbO,-0.08300065225022932,cpdB,-0.07536707050852975
rplR,-0.07206284181541593,ygfS,0.09191210650212295,ygaC,-0.08749221118741897,ykfC,0.08069888300138092,treC,-0.0744296232670125
rpsC,-0.07111961626018093,fes,0.08922382044753756,xni,-0.08589688287183228,yhiD,-0.08038425033108507,ybjL,-0.07243767625492684
