mode1_gene,mode1_loading,mode2_gene,mode2_loading,mode3_gene,mode3_loading,mode4_gene,mode4_loading,mode5_gene,mode5_loading
rplD,0.1201573749642415,yedN,-0.24407777537232359,pyrI,-0.20497989916182222,fliC,0.16571614507466434,hdeB,-0.11702766665259014
rplF,0.11999922381355015,ppiC,-0.20331417205695818,pyrB,-0.18350353240149495,pyrI,0.13018390829200202,hdeA,-0.11625643586468523
rplC,0.11765462699991766,amtB,-0.18922229701753576,yjgF,-0.14936259778510663,cheA,0.108836215696144,gadA,-0.09300015276092533
rplP,0.1104765628068732,ybhK,-0.17671065255870963,carA,-0.14223406483014514,fliD,0.10862955811583011,yfiF,0.08305454345284251
rplL,0.10978071319945867,ygcF,-0.17092790435530336,fliC,0.12177264778900432,flgL,0.10516495602245296,ybiR,0.08033202700652364
rplA,0.10728846207075164,insO-2,-0.15851046612735095,carB,-0.1125904187103841,pyrB,0.10499807804704639,hdeD,-0.07736753843946453
rplI,0.10709832943752787,fes,-0.156457793614008,pyrC,-0.10568154108095186,yjgF,0.10398760490024567,ybaQ,0.07642734069170436
rpsD,0.10574546321416718,yoeA,-0.15118003386662768,codB,-0.10381083640305329,flgC,0.1020083278062276,raiA,0.07637902547212827
rpsK,0.1017985341342169,rffM,-0.14215000416706702,cheA,0.09339400772208667,yhjH,0.0957560299037897,galR,0.07035323660431148
rplW,0.10067014706921056,mutS,-0.14169373037199443,tap,0.09142313715132934,carA,0.09563923038830749,flgK,-0.06936318180283084
priB,0.09919675655772202,yrbD,-0.13923947132983658,argG,-0.08814762502619,flgD,0.09526018003585422,yigZ,0.06916208949378312
rpmC,0.0987444791108385,dhaM,-0.1381130664258896,fabA,0.08402299545143219,tap,0.09347103190405409,yceF,0.06868272993679567
rplX,0.09719829243332592,creC,-0.13243529609790272,fliD,0.08350675658294456,cheY,0.09226650402711471,yobG,0.06814242706910054
rplR,0.09662795652447728,hha,-0.13221314766404318,leuC,0.07770446931569308,hdeA,-0.09161692425991953,yhaH,0.06552527571025886
rpoS,-0.09339850133596542,purB,-0.12524090868324306,flgC,0.07739222496078982,carB,0.08968556487231258,nrdB,-0.06478133417138758
rpsE,0.09244564288838096,sbcD,-0.12181643581841622,yhjH,0.0758960079670595,flgM,0.08788826691021673,yaeB,0.06425424272186472
rplE,0.0914499355813051,rlmB,-0.11960559394757937,tar,0.07582977553502268,cheW,0.0867869549810881,uvrB,0.06279671759446775
rpmD,0.09058042270009847,murG,-0.1135209076670631,leuB,0.07560750977153312,flgN,0.08545875606119592,ytjA,-0.0618158912483554
rplJ,0.0893366556977723,nupC,-0.11301745616589462,flgD,0.07131564352491682,flgE,0.08380133379288465,yceD,-0.06176317739764536
rpsN,0.08851517916861075,lolE,-0.11261322210783134,fliS,0.07071336026771424,tar,0.08379727915693791,yjbJ,-0.06129929553999198
elaB,-0.08698359075027666,yfdG,-0.1072134065249547,motA,0.07041204301388325,deaD,-0.08171672390551078,ychQ,0.06107578807679205
rplB,0.08508496799724871,ygdR,-0.10580368591991376,uraA,-0.06850986821162562,gadA,-0.08150775949454503,gadC,-0.059776151566144575
rpsC,0.08479659373638304,yggX,-0.10301235902143988,leuA,0.06826290159048336,hdeB,-0.07946613241469967,bolA,0.05954611913212812
hdeA,-0.08272036453045778,ydaL,-0.10262347668569069,upp,-0.06730763769551007,rplC,-0.07927485007756618,ybiU,0.05917381660262636
rpoA,0.08186281148463312,cca,-0.10075733686283715,flgL,0.06705301861490778,fliZ,0.0788844034697277,purF,-0.05898823144232673
dps,-0.08146562303264451,gmr,-0.10024321690497566,flgK,0.06585834425876384,ycgR,0.07714914609887596,gmr,0.05893274047631587
rplV,0.08139273736504131,flhD,-0.09643062726205569,hdeA,-0.06563757097027484,icd,0.07673778531899564,serA,0.05869661809006061
argG,0.08060830519323736,malF,-0.09629508922058559,hdeB,-0.06417191926106836,ompF,0.0742504249930786,yhiD,-0.0573925797866538
rplO,0.08027589669472723,ypjC,-0.09612733945891948,pyrH,-0.06316443529362548,gadC,-0.07257442797057786,tgt,0.057331876895091685
rpsR,0.07968360569158389,yghB,-0.09573902750222603,rho,0.062207386778643875,dps,-0.07117907954066854,fliC,-0.05723707914372863
