mode1_gene,mode1_loading,mode2_gene,mode2_loading,mode3_gene,mode3_loading,mode4_gene,mode4_loading,mode5_gene,mode5_loading
ybgO,0.1426149349429676,ilvI,-0.19425570787956406,tmRNA,0.16184122310962287,yagX,0.1969918324504295,phnJ,-0.222013500973518
cysG,0.13896837994569383,ybgO,-0.18452425767835734,ybgO,-0.16126884674830158,eutA,0.18857845922543695,truC,-0.21614212237591157
yafM,0.13062356174028902,racC,-0.17344561834822056,ilvI,-0.14921602822480776,pphB,0.1573238385411738,maa,-0.19533341648134345
lpxB,0.13062356174028902,ydhY,-0.16111749492481633,racC,-0.12859395062446186,ycjW,0.15142076692219145,glnP,-0.18966374695642157
rluF,0.13062356174028902,insF-4,-0.14300991521923617,ydhY,-0.11427289682821101,metF,0.14992086944420413,ybjI,-0.18069106137496746
yagX,0.12087894385152066,torY,-0.14155883997990074,yajR,0.11347397408570448,yqgD,0.12377817197718775,yfeT,-0.15287771255342802
yedL,0.11141963406844403,yojI,-0.13831209471649294,insF-4,-0.10987452832078642,yjcS,0.1216905253836214,gltI,-0.15024029594712301
mfd,0.10822804165192454,feaR,-0.12286973558377952,ybjI,0.10926712551421068,phoU,0.11526817920306272,pinQ,-0.14830554055466902
ilvI,0.10516417017341187,tmRNA,-0.1221696888473811,phnJ,0.10630176558005978,phnJ,-0.11485891751679254,yfdV,-0.13703826006463585
ydhY,0.1045938152383278,recB,-0.11301300796782793,truC,0.0933610699548741,ompN,0.11470852967494265,spy,-0.13610739411199865
insF-4,0.10395040111261872,cysG,0.1098633672396531,recB,-0.09191097538722497,yfiF,0.11355522353428775,cobU,-0.13239226246537494
yjcS,0.10286013707903922,ykgN,-0.10983324728955317,poxB,-0.08950549275054383,htrG,0.11061959420374251,hlyE,-0.12952704405696341
pspA,-0.09952686761740746,ydeQ,-0.10953399931549197,rstA,0.08633921118944983,ddpF,0.11047538035762361,mdoH,-0.12490563267195777
ompN,0.09753764590160884,ydeT,-0.10844690987950771,ykgN,-0.08587227285019575,purR,0.10949603641870638,yaaI,0.12093562927998995
ycjW,0.09713237707011994,ycgV,-0.10816442203919387,yadD,0.08470300038330064,yqiK,0.1089026412336418,hepA,-0.1132691082834124
yaaI,0.09703587893194,poxB,-0.10227368049692455,fimB,-0.08154802024062033,ycjN,0.1088676638982397,yceG,-0.09967796374378883
dsdC,0.09690502505068621,fimB,-0.10037067643722673,ppc,0.08145687802277297,truC,-0.10591850966073348,wcaK,0.09794232878243518
torY,0.09638512932232157,yobF,-0.09968294486087682,sseB,-0.08128088945825741,maa,-0.10214371667594752,yagX,-0.09742572963240985
yhdY,0.095876804343899,uidC,-0.0943549272947025,araG,0.08121081846502157,zraP,0.09653675307052959,dcuS,0.09592931703109613
eutA,0.09516917169219914,sseB,-0.09273256189981147,ygcU,0.07993136632419212,rfaL,0.0921215611205097,acs,-0.09145714459271168
racC,0.09305933796741625,rluF,0.09196624001993801,yobF,-0.07908282237046932,yfjO,0.09212080364665579,yfaS,0.08930852405474571
gcvT,0.08791948245739704,lpxB,0.09196624001993801,yfgB,-0.07792803005863218,glnP,-0.08759488809475702,ycjY,-0.08659820900015211
ygeX,0.08567937963586424,yafM,0.09196624001993801,yjhA,-0.07726926567996431,spy,-0.0855319840624227,idnO,0.0827199761606688
yjhA,0.08138832676280519,yfcV,-0.08823344308306512,ydeQ,-0.07661899381539458,yedA,0.08550215306494506,cpdB,0.07475316245653371
yjfY,0.0804423757547559,gcvT,0.08543330777951924,yihG,0.07603037374941851,dcuR,0.08090024251242965,eutA,-0.0744061386469302
ddpF,0.07846419099612116,yfgB,-0.08473251531927493,ybfQ,0.0756724099715105,ygjK,-0.07861864097222929,yjcS,-0.07307633403426193
mdtF,0.07817704856546859,yfhM,-0.08391753168985101,yfeT,0.0754750607504299,yfdV,-0.07759995976975835,pphB,-0.07223719177831871
ycgV,0.0780929496459023,ypjC,-0.08375863315535235,maa,0.07526326782430483,yjhA,0.07642088815615808,uxaB,0.07209636016796613
ycjN,0.07793362026547705,ygeX,0.08353201291159305,ydjX,0.07439446364341615,ybfO,0.07612233504005786,ycgV,0.07071139083136682
yojI,0.07740801569528281,yhdY,0.0822030085716234,feaR,-0.07320087234814932,ybjI,-0.07544657279630164,purL,-0.06851283290856225
