mode1_gene,mode1_loading,mode2_gene,mode2_loading,mode3_gene,mode3_loading,mode4_gene,mode4_loading,mode5_gene,mode5_loading
pspA,-0.08572739433213329,argE,0.0807619175919921,yidP,0.28719565415243775,hha,0.18834423787632942,yjcH,0.17972418692395264
yjjM,0.0712969336153781,coaA,0.08021089652121048,ygbK,0.27219786354639564,yadD,0.1842673767001673,yagY,0.17089882024895345
yjhS,0.07050052443298624,yiaY,0.07282168328346089,queF,0.2720537129719766,ycaJ,0.18330373930010618,treB,0.166480230220132
ytfL,0.06769056173248073,yjjM,0.07189849724269858,ppx,0.2667467099750425,ycfQ,0.1466314201372725,yagR,0.1530847378253783
caiC,0.06670196827707972,treB,0.07167986843823188,ycbW,0.25594068827688293,ydfI,0.1428490242569632,yjeS,0.14524966472801995
hscC,0.06135534115002851,yidJ,0.07023512778075382,yfdR,0.24692616523710373,ybiX,0.13892175030601597,araJ,0.14310450817811374
tetR,-0.06015415015623358,frvR,0.07002969909377807,insK,0.2126042337854354,abrB,0.1353623219768362,yjjM,0.1375006491734312
intF,0.06002848581862375,arpA,0.0691633310740788,gspO,0.18566497536504473,dcuC,0.13189656130163285,frmB,0.12081737475140877
ftsH,-0.059696891339995374,yhjJ,0.06886232090461736,nupG,0.16484311723540826,yjtD,0.1221169306904083,yjcO,0.11175050405094722
yajR,0.05956116578323839,cadC,0.06840977695643921,tktA,0.14768898700020633,ydfR,0.121311201286421,acrA,0.10529765134068188
ycfT,0.05859263320815564,yehC,-0.06835510263409415,rhsB,0.14549732238115343,ybiW,0.12022733088730743,idnT,0.10316807629404734
treB,0.05826041976577359,mdoB,0.06673929081359455,speC,0.13679023409797414,potE,0.11328410704972826,yafK,0.09894170948941355
yccS,0.05765440900984282,yagR,0.06657692591523118,yhgA,0.1323931942616999,yabP,0.11321147555297452,yajR,0.0977544703310071
gntP,0.05705292974220653,yjhS,0.06493734595693304,tdcE,0.11764876726072045,ydfU,0.11006024627091004,yjhS,0.09664646975548391
alsB,0.05696649344478581,hsrA,0.06485123064052553,yfbL,0.113459461430215,sixA,0.1085025928686211,fdhF,0.09562255956781071
yjhG,0.055708785659576786,htrL,0.06475917547877608,yfbM,0.11246788787332997,dacA,0.10200088670254506,yjiA,0.09509094511738331
tmRNA,-0.05554521940696313,cpdB,0.06412669444283542,yhiS,0.10568228131182912,csgE,0.09078959505614824,cadC,0.09415505120267081
frvR,0.05537401821194044,yihS,0.062389676300946315,serA,0.10407890861473765,sapF,0.08479733143413258,aspA,0.09364482677214653
yadM,0.055312823782472084,kefG,0.06153454582682191,cmtA,0.10103271462174934,yccS,0.075633080017264,yafU,0.0914387016640385
rpsA,-0.05489919495805285,yedV,-0.06131679588700211,yfjI,0.09879515460038961,ybhK,0.07436645417265068,yagM,0.09110642306881443
yagM,0.05464143751308585,bglH,0.061274701296180775,ygcE,0.09418275613125539,potD,0.07426477311589512,perR,0.0909012545341806
purU,0.054641089717996846,aslA,0.060979723402965834,xylG,0.09126825908740449,dhaM,0.07405120190351433,gntP,0.09075838609629985
yjiC,0.054367562404675905,yieL,0.060598101617786684,glnB,0.08920358136130685,ybgP,0.06803421532876816,argE,0.08606688980589867
idnT,0.05429645788006277,yifB,0.060108858403885676,insF-4,0.08042600382024365,ybjI,0.06801566901476408,yigE,-0.07840918670012723
idnO,0.0542908365129894,yeiJ,-0.06002521823778423,yfgL,0.07999069961287977,yfdH,0.06795468388970514,adiY,0.07822013671652484
yagL,0.05400256792373108,ydiJ,-0.05972112689423585,yfiQ,0.07995338106861592,nfnB,0.06773572688571906,yjcP,0.07636834110513545
yihG,0.05364136567909958,fecB,0.059268051239850475,ygfQ,0.07942756923281588,etk,0.06674110509459913,yaaJ,0.07636636532155341
pspC,-0.053576629651440284,ugd,-0.058730208602791205,LELOBEKK_ylpA,0.07935159282189122,mngR,0.06628182279708568,yhiL,-0.07579978120032811
aspA,0.053480677570916374,yigE,0.05837714108274146,yicH,0.07575056782710174,aspC,0.06542226555613326,cpdB,0.07439648413028946
yjgX,0.05327477186509721,yjfZ,0.05703846984202398,LELOBEKK_galK,0.07251427580401931,yfbK,-0.059725486632306014,yfjI,0.0739913903393963
