gene,gene_clean,score,rank,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
alla,alla,0.00250766732378617,1,3.504371391054707e-06,6.657474603177513e-06,1.421503029771975e-07,9.885593760763393e-08,0.000523437761946143,0.0011077793829594492,0.0003028521812816304,0.0004842411347112104,7.158019051833364e-05,7.373820134586209e-06
kdpb,kdpb,0.0025076673237861696,2,3.504371391054707e-06,6.657474603177513e-06,1.4215030297719753e-07,9.885593760763398e-08,0.0005234377619461429,0.0011077793829594508,0.0003028521812816291,0.0004842411347112105,7.15801905183338e-05,7.373820134585756e-06
trph,trph,0.0025076673237861696,3,3.504371391054707e-06,6.657474603177513e-06,1.4215030297719753e-07,9.885593760763398e-08,0.0005234377619461429,0.0011077793829594508,0.0003028521812816291,0.0004842411347112105,7.15801905183338e-05,7.373820134585756e-06
kdpd,kdpd,0.0025076673237861696,4,3.504371391054707e-06,6.657474603177513e-06,1.4215030297719753e-07,9.885593760763398e-08,0.0005234377619461429,0.0011077793829594508,0.0003028521812816291,0.0004842411347112105,7.15801905183338e-05,7.373820134585756e-06
gnsa,gnsa,0.0025076673237861696,5,3.504371391054707e-06,6.657474603177513e-06,1.4215030297719753e-07,9.885593760763398e-08,0.0005234377619461429,0.0011077793829594508,0.0003028521812816291,0.0004842411347112105,7.15801905183338e-05,7.373820134585756e-06
dcub,dcub,0.0025076673237861696,6,3.504371391054707e-06,6.657474603177513e-06,1.4215030297719753e-07,9.885593760763398e-08,0.0005234377619461429,0.0011077793829594508,0.0003028521812816291,0.0004842411347112105,7.15801905183338e-05,7.373820134585756e-06
atob,atob,0.0025076673237861696,7,3.504371391054707e-06,6.657474603177513e-06,1.4215030297719753e-07,9.885593760763398e-08,0.0005234377619461429,0.0011077793829594508,0.0003028521812816291,0.0004842411347112105,7.15801905183338e-05,7.373820134585756e-06
tus,tus,0.002474043191120246,8,3.128144643304218e-06,6.392500204039864e-06,7.840900395156211e-06,8.617674137258978e-06,1.1590328371277825e-05,0.0006102062375767987,0.0005891114372870364,0.0010196523658214808,0.00020086551154721428,1.6638091136678654e-05
ydiz,ydiz,0.002474043191120246,9,3.128144643304218e-06,6.392500204039864e-06,7.840900395156211e-06,8.617674137258978e-06,1.1590328371277825e-05,0.0006102062375767987,0.0005891114372870364,0.0010196523658214808,0.00020086551154721428,1.6638091136678654e-05
evgs,evgs,0.002474043191120246,10,3.128144643304218e-06,6.392500204039864e-06,7.840900395156211e-06,8.617674137258978e-06,1.1590328371277825e-05,0.0006102062375767987,0.0005891114372870364,0.0010196523658214808,0.00020086551154721428,1.6638091136678654e-05
ilva,ilva,0.002474043191120246,11,3.128144643304218e-06,6.392500204039864e-06,7.840900395156211e-06,8.617674137258978e-06,1.1590328371277825e-05,0.0006102062375767987,0.0005891114372870364,0.0010196523658214808,0.00020086551154721428,1.6638091136678654e-05
glcg,glcg,0.002474043191120246,12,3.128144643304218e-06,6.392500204039864e-06,7.840900395156211e-06,8.617674137258978e-06,1.1590328371277825e-05,0.0006102062375767987,0.0005891114372870364,0.0010196523658214808,0.00020086551154721428,1.6638091136678654e-05
ugd,ugd,0.002474043191120246,13,3.128144643304218e-06,6.392500204039864e-06,7.840900395156211e-06,8.617674137258978e-06,1.1590328371277825e-05,0.0006102062375767987,0.0005891114372870364,0.0010196523658214808,0.00020086551154721428,1.6638091136678654e-05
sgrr,sgrr,0.00216704234892511,14,3.700571713478703e-06,6.5192786204666876e-06,2.4592326494288387e-05,2.4492483684066443e-06,0.0012437060093754752,0.0005002020756263026,5.523978279794054e-05,0.0002613294754461419,5.65389524165564e-05,1.2764628066053032e-05
pdxj,pdxj,0.002167042348925104,15,3.7005717134786896e-06,6.519278620466677e-06,2.4592326494288275e-05,2.449248368406635e-06,0.0012437060093754718,0.000500202075626301,5.523978279794041e-05,0.0002613294754461413,5.6538952416556245e-05,1.2764628066052991e-05
tqsa,tqsa,0.002167042348925104,16,3.7005717134786896e-06,6.519278620466677e-06,2.4592326494288275e-05,2.449248368406635e-06,0.0012437060093754718,0.000500202075626301,5.523978279794041e-05,0.0002613294754461413,5.6538952416556245e-05,1.2764628066052991e-05
prov,prov,0.002167042348925104,17,3.7005717134786896e-06,6.519278620466677e-06,2.4592326494288275e-05,2.449248368406635e-06,0.0012437060093754718,0.000500202075626301,5.523978279794041e-05,0.0002613294754461413,5.6538952416556245e-05,1.2764628066052991e-05
ytfg,ytfg,0.002167042348925104,18,3.7005717134786896e-06,6.519278620466677e-06,2.4592326494288275e-05,2.449248368406635e-06,0.0012437060093754718,0.000500202075626301,5.523978279794041e-05,0.0002613294754461413,5.6538952416556245e-05,1.2764628066052991e-05
acrf,acrf,0.0021670423489251016,19,3.7005717134786905e-06,6.519278620466677e-06,2.4592326494288312e-05,2.4492483684066354e-06,0.001243706009375471,0.0005002020756263008,5.523978279794017e-05,0.0002613294754461413,5.653895241655517e-05,1.2764628066052884e-05
