gene,gene_clean,score,rank,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
intR,intR,0.00204903041200187,1,0.0001815393021947675,0.00023264094191710323,0.0003729267965365505,0.0002665105359160578,0.0003850555710570895,4.646809020651287e-05,0.00018908945446460522,0.00015233436820365285,2.269864486176106e-06,0.00022019548701935463
yidA,yidA,0.001975695019977675,2,0.000156262978595582,0.0006372084980498964,7.725432205625239e-06,0.0004774794611799301,0.00012910545051858833,0.00015126020031514637,0.00015696254844123006,0.0002057491805132301,8.760657644016365e-06,4.518061251443005e-05
fimD,fimD,0.001837650946858814,3,0.0003293063084489724,0.000771650958881526,5.4066856295983793e-05,5.5755575223565283e-05,0.00011439854433077751,0.00011870372740624306,5.300780771668081e-06,0.00021545183597587738,9.92898707423034e-05,7.372648878189744e-05
yjiG,yjiG,0.0017719322701850433,4,0.0001961302268201996,7.409580060824355e-05,0.0001833907419134474,0.00023217970671605116,0.00023496667236253883,7.055431843878276e-05,0.00010622315781177559,4.2945632169174535e-05,0.0004970446228482964,0.0001344013904965335
cobS,cobS,0.0017084617267352485,5,8.993081633439503e-05,0.00011078018313185313,0.00031682482527667914,0.00019835642053368736,0.000323996142882808,4.993554283327041e-05,0.00017810118984948374,0.00027676647000578626,3.834416322431524e-05,0.0001254259726629704
yaiL,yaiL,0.001707716710948562,6,0.0002792653060752735,0.0007441516440847337,4.104656281472564e-05,0.00010502325253463634,9.79575083117347e-05,0.00010353602635404832,2.359179485589112e-05,0.00011351655329314042,8.107603126811564e-05,0.00011855203135626249
tbpA,tbpA,0.0016864524284390153,7,0.0002716429330102367,0.0006669213125718331,5.682406344799977e-06,0.00011668904494788356,0.00016998682443350604,9.812911767639735e-05,7.823497074526934e-05,8.683546880408014e-05,9.664496219168419e-05,9.568538771332476e-05
mdoH,mdoH,0.0016846463008456652,8,5.379942140004413e-05,0.00024531697454241555,8.299242488336022e-06,0.0005114121876258214,8.096786067749703e-05,0.00028731121202090214,8.642478609045899e-05,0.00024738121119369455,0.00015875814208879494,4.9752627177006e-06
yjhW,yjhW,0.0016843659045246346,9,5.7683623252984354e-05,0.00026552435394147254,3.0367262206683177e-05,0.000493928035088386,4.7589022135314226e-05,0.0002752454689276699,0.00014103707002386664,0.00023748662580985958,0.00011064450719158503,2.485993594681335e-05
phoE,phoE,0.0016282960858187462,10,0.0002657250223028265,0.00019079779099034084,0.00024412863052893934,0.00019232341619369105,0.00014781397741430867,0.00030484688798298207,0.0001785467130403803,4.162468654213994e-05,5.1212591827125966e-05,1.127636899601154e-05
hycB,hycB,0.0016201708907713894,11,0.00010798251967666326,0.0001165974955809207,0.00033391530872679413,0.00016856116749928415,0.0002896202069452819,5.071089871178181e-05,0.00017685376033406132,0.0002256636192141421,1.8539873991140765e-05,0.00013172604009131927
fpr,fpr,0.0016029997116907885,12,0.0002654563300382226,0.000389860120943692,0.000182375934211886,5.70181125015231e-05,4.716832145661822e-05,8.139555062970534e-05,0.00015688909368186132,0.00027592028081242667,5.22355206126724e-05,9.46804468021808e-05
hipB,hipB,0.0015966337956452486,13,0.00029725659502277544,0.0005493919811170308,6.684766691691157e-05,0.00013425788919030639,0.00015416393848747978,7.041977191703431e-05,0.00012170510957140735,1.497527319905668e-05,0.00011698203680532284,7.063353341792336e-05
citC,citC,0.001487880956808119,14,0.00017723512399108176,0.0006013773253619251,1.45790566252515e-05,0.0001536534933479923,0.00017971107257783598,8.790740251424253e-05,7.736600196410326e-05,5.2258242631354177e-05,6.913608028644944e-05,7.465715750788323e-05
hokC,hokC,0.0014697629108922424,15,7.053269216941031e-05,0.00017266424839920127,0.00012819124610216728,0.0004372554492360993,4.548048980291181e-05,0.00019578951826975153,9.598104389237879e-05,0.00022845269419409205,6.664205937450037e-05,2.877346945172962e-05
yfcJ,yfcJ,0.001445057013785017,16,0.00017930587648882276,0.0001333279929266189,0.0002669582159286858,0.00015967319838008115,0.00021776824207499362,4.841935845846962e-05,0.0001274493528735244,0.00020348555125983001,7.359546122384705e-06,0.00010130967927160586
