gene,gene_clean,score,rank,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
yadS,yadS,0.0018287473216077237,1,9.282442188705721e-05,0.0004922893911317534,0.00011973302106414342,1.2056663078937379e-05,0.0001650818916629393,9.889391887915922e-05,0.00015870183770907826,0.00038627174573985956,0.00024368960222617938,5.920482822861661e-05
ldcC,ldcC,0.001688310050771726,2,2.95862645745311e-05,0.00035190193859066857,0.00011654481076158385,0.00010907401774815874,0.0002722546531376369,0.00017284757992671581,9.612575071767287e-05,0.0002954378370336815,0.0001905527105441793,5.3984487736897355e-05
nrdA,nrdA,0.001632095046738067,3,5.4631114084047946e-05,0.0005053914037846175,4.316190166201723e-05,6.389348152648867e-05,0.00012022991283988607,7.269176517788298e-05,0.0001783113515883839,0.0003201487129210376,0.00017977060879096108,9.3864794362744e-05
ybhT,ybhT,0.0015964493359417195,4,0.00016588198088189312,0.0004605046578284926,6.711207862974088e-05,1.5163907163623666e-06,0.00011595973499900477,0.00011717124709548152,9.370583488719811e-05,0.000342220634850721,0.00021099059292369385,2.138618312913118e-05
yjhE,yjhE,0.0015287330815474437,5,4.243357781383869e-05,9.923661797117182e-05,0.0006632702403356129,0.00032065945201487577,1.368751895570442e-05,9.529329493072252e-06,0.00020642099446324465,5.464409075836614e-05,5.0987978494538174e-05,6.786328124701885e-05
yiaT,yiaT,0.0014865376401485594,6,3.340909488837327e-05,0.0001972340976424365,0.00012425270870981115,0.00023541508353008817,0.0002658217992420219,0.00020199567013365842,1.7734833195177603e-05,0.0002253757154811977,0.00011563350329278362,6.966513403301105e-05
gcvP,gcvP,0.0014822092274931501,7,7.581278981069564e-05,0.00010744728824106225,0.0005852980098437464,0.00027038883786776246,2.3580252478425114e-05,5.315100256904321e-06,0.00020590040091322053,8.177282734556413e-05,7.501676932844576e-05,5.167695140732347e-05
intE,intE,0.001477585529963447,8,2.6239007552314684e-05,9.743764743445659e-05,0.0006696324487434772,0.0002689011098780485,9.11027306061962e-06,4.056964915639315e-05,0.00020217171610806815,4.433873917780002e-05,1.8162905401505966e-05,0.00010102203345076322
folX,folX,0.0014632258139254922,9,9.585457592378888e-05,1.9473553950770005e-05,0.00011277134991050191,8.564245877137018e-05,0.0003420847035347739,0.00015979841515982595,0.0001992540008811784,0.0002475992031975279,0.00012737351024043634,7.337404235531883e-05
metI,metI,0.0014235437937520318,10,9.039617594949004e-05,5.8974167221054185e-05,0.0001158343789644809,0.00013876765902984503,0.00033761058640775337,0.00021404934789551815,0.00016086605906299664,9.346417756861443e-05,0.00017920536568751373,3.437587596476516e-05
xerC,xerC,0.0014089972775917293,11,0.00013835798549833276,0.00047186186422395777,0.00010478742264164489,5.4992320012668116e-05,8.772109546573099e-05,4.802984652593376e-05,9.800420358417756e-05,0.0002989317896127931,8.627225731518433e-05,2.003849271130602e-05
eutB,eutB,0.0014030387975573688,12,0.00011098674796951832,5.3217139035460197e-05,0.0005883374846544251,0.0002357238051543709,3.484253070896291e-05,3.483004012268546e-05,0.00018675644701905908,8.92671530429747e-05,4.619831479843128e-05,2.2879135051481055e-05
yebC,yebC,0.0013993773622677065,13,5.894941532553945e-05,0.0003390458802301106,0.00011853920090778598,2.738077708578489e-05,0.00013804788748118484,7.623050871030654e-05,0.0001752324224265039,0.0003512036217429135,6.0847289885815055e-05,5.390035847176175e-05
ygiP,ygiP,0.0013749615699995298,14,4.226748835145012e-05,0.00011982124465884024,1.048027642410417e-05,0.0001615071072005557,0.0001760238076495302,0.00010405384425382401,0.00017566252030640857,0.00011968404811788103,0.00022595156398310239,0.0002395096690538335
appB,appB,0.0013742674265149193,15,5.732317298002671e-05,6.613425095639418e-05,0.0006052360625774081,0.0002763616396833958,4.307125288836288e-06,2.8694677652892445e-06,0.00021031321275797227,5.365947038275339e-05,5.354668555250871e-05,4.4516338570334846e-05
elbA,elbA,0.0013727390001282138,16,0.00015709414607499326,0.00028900331447949856,1.2093964737345016e-05,4.1946980913721154e-05,4.281242308507543e-05,0.00020880636481306766,3.589681144253423e-05,0.00013775811672017178,0.0001398682822159163,0.00030745859564589056
dsbC,dsbC,0.0013593241187693974,17,0.00013154825991643998,4.708858006743747e-05,0.00011374202886579156,0.0001445366995237903,0.0002946076804391022,0.00016768252526103828,0.00021603348264818604,0.00010155988717343955,8.34986068258043e-05,5.9026368048367906e-05
hisG,hisG,0.001350169592763421,18,1.527330392880679e-05,0.0004039894235792785,8.615675121478876e-05,1.8017647675399342e-05,0.00010910814669761123,0.00010472934949287521,0.00011060981263967444,0.00024391230278744038,0.00020293926669908072,5.5433588048465895e-05
ydcW,ydcW,0.0013492004836668338,19,0.00019177242742151625,0.0002106784810224662,0.0001871661334545386,6.721515736134913e-05,7.123761277999834e-05,6.762541423874349e-05,0.00013306699624834854,0.00024883154947062636,0.00013658975135289188,3.501696031635509e-05
hisQ,hisQ,0.0013468919127991518,20,8.416618115556054e-05,0.0003485259046933909,8.162246265028616e-05,7.936265840804277e-06,0.0001266374681937823,7.185795793529608e-05,0.00016261003081305305,0.0003622476508523668,3.388474620546903e-05,6.740324445914256e-05
ygaY,ygaY,0.0013301811084437142,21,6.634946468190203e-05,8.463829651825954e-05,0.0005744844232928377,0.0002571329135958995,4.1128167235732115e-05,1.9832443767840233e-05,0.00015346390005431036,2.7153673082593813e-05,2.070116501759639e-05,8.529666119674256e-05
yfaX,yfaX,0.0013183118161169795,22,0.00010728018817122525,0.00035303055170504005,5.746816514041064e-05,2.6562115944460363e-05,9.707905871821516e-05,8.002238046798535e-05,0.000162119950448204,0.00022512845708790922,0.00011682951148871605,9.279143694481338e-05
ytfE,ytfE,0.0013154312271934305,23,7.854594928962925e-05,1.7659780943510598e-05,0.00014824994511483523,8.939027110262234e-05,0.00028066472544302376,0.0002438193781807813,0.00020525365001796965,7.918986894827187e-05,0.0001580970467771749,1.456061137561137e-05
