gene,gene_clean,score,rank,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
ybjH,ybjH,0.003750962694053519,1,0.000814628137224917,1.413702377077804e-05,0.0005258725445921763,0.0003138056990667442,0.00011859015630794132,0.00043756039595480305,0.0005667642987483081,0.0004866604111887204,0.00013977034228211823,0.00033317368491701235
yhhY,yhhY,0.003750962694053519,2,0.000814628137224917,1.413702377077804e-05,0.0005258725445921763,0.0003138056990667442,0.00011859015630794132,0.00043756039595480305,0.0005667642987483081,0.0004866604111887204,0.00013977034228211823,0.00033317368491701235
glxR,glxR,0.003618954979826118,3,0.0006379922214024297,8.210961071848956e-05,0.000461577126298267,0.00013015719175017837,0.0003784960656869337,0.0005234266448632126,0.0008519303914738938,2.1963407411730691e-07,0.00013902719984029512,0.0004140188937183003
php,php,0.0035115342833000646,4,0.00038174759652428975,2.644020452176029e-05,0.00037584411749257433,0.00022554093733043594,0.0002015064253983013,0.0004794448654911332,0.0005950866108390902,9.858020759360863e-05,0.00034894496834191274,0.0007783983497669586
pcm,pcm,0.0034576641730751697,5,0.00086347424265272,0.0010549787358077266,0.0009737684446797728,8.765822255929106e-05,0.00010504215526944303,0.00022569911563901122,7.110122958899153e-05,2.0954963373234505e-05,5.471822757830561e-06,4.951524074714851e-05
rbn,rbn,0.0031856498231413923,6,0.0007847962564005493,3.690028578061583e-05,0.0003919286348012567,8.471839281148155e-05,0.0012000053023433837,0.00017453880285108267,4.6376899107638504e-05,0.00025263638516387165,4.024876259428838e-05,0.00017350010128722434
cbrA,cbrA,0.0030937310881880677,7,0.0007643852893346358,0.0009460221572859807,0.0008737930607141094,9.164548665400501e-05,9.636609420462654e-05,0.00019613885951475296,6.356660912758766e-05,4.873777320111642e-06,9.390734541804026e-06,4.754901949045445e-05
yphD,yphD,0.003046757735070409,8,0.0008686847691371574,0.0005869260803171119,0.0002924609321544163,0.00014477815762175465,3.6191438697110106e-05,0.0006890040441584855,8.787468509758117e-05,7.645253217640118e-05,0.00017389791432735914,9.048718138303163e-05
flgG,flgG,0.0029741502894640743,9,0.0009271008821133561,3.579154234314615e-05,0.0005082341049760893,0.00015007166498585224,0.0010106431632649216,7.475403623862873e-06,0.0001372373121771527,6.644376244286968e-05,8.919174564260175e-05,4.1960707894221924e-05
ygaU,ygaU,0.0029545261881703372,10,0.0004381302394638175,9.43335281859909e-05,0.000409849400948342,0.00018176197769521947,0.0003900739342432613,0.0004589167124704561,4.1588494240089775e-05,0.00035745289506377567,0.00039887567012372965,0.00018354333573565538
yceF,yceF,0.0029063664903670942,11,0.0004819956612287682,0.0004568294108572011,0.0002750885070069844,0.0001034058646697066,0.00013392973577431926,0.0005767820797257504,0.00029400016742871536,0.00026866611719734556,0.00021224406943985577,0.00010342487703844811
envZ,envZ,0.002887137854185673,12,0.0005817258996996487,1.8339388317954555e-05,0.0004072111998935015,0.00021580278138180747,0.00010105914818543053,0.0003467239099929579,0.0004536396465020223,0.00037872964944501335,0.00012476829176733716,0.0002591379389999994
ftsI,ftsI,0.002824820407797998,13,0.0003653766301551151,0.00017480076434610284,7.690007376840619e-05,0.00012254501535197333,9.608066120614688e-05,0.0008448554146463261,0.00042139016987542834,0.00032667752647006724,0.00024485655985492344,0.00015133759212350879
ykgO,ykgO,0.0028116000877737024,14,0.0003253793597905926,8.965038039904242e-05,0.00027951683478928864,0.00016163381016499372,0.0003746398282832294,0.00024639233298297394,0.00034415205537225525,0.0003987315211741214,0.00028534574117102527,0.00030615822364617943
wcaL,wcaL,0.0027386931326191318,15,0.0006305405407131664,0.0010380907284181402,0.0007521341967315844,2.620864241805731e-05,6.539019667708472e-05,8.477551092286404e-05,1.6279736728860726e-05,1.6801393493064427e-05,4.724988693433083e-05,6.122229958197921e-05
wbbH,wbbH,0.002731337370402312,16,0.0007405121326924841,0.0008987878823068702,0.0007970410662335868,5.1915640348113456e-05,7.213652599692527e-05,4.894181060751448e-05,1.1057261669830428e-06,6.206791689570278e-05,2.2766667653419633e-05,3.606200150071175e-05
yraH,yraH,0.0027061411553533808,17,0.0006580915136173051,0.0008269509779297726,0.0007536434717761965,4.7887208892180596e-05,0.00010733430736630522,0.00016061470624045577,0.00010097702433496809,7.443734514596036e-06,1.0041970257314445e-05,3.315624042428683e-05
fucI,fucI,0.0027045876032315004,18,0.0006685479734405909,0.0010377713526172308,0.000725993324241449,4.1513975958030355e-05,1.1430808088614458e-06,8.377423398607734e-05,3.5082223926842278e-06,1.4691164912044729e-05,4.5286690360348525e-05,8.235758451418252e-05
ybdM,ybdM,0.002688210269051217,19,0.00037470205903422497,8.733999287197074e-05,0.00023834506096373045,0.00016732727799390371,0.0003757948343547402,0.0002882857951135829,0.0003137924234578863,0.0002891640445299876,0.0002563986417478761,0.00029706013898331366
ydiR,ydiR,0.0026627860837839493,20,0.00020578066689273602,1.8730558786720575e-06,6.664049589757758e-05,0.0002722571304194086,0.00019280158615685516,0.00013328241731658434,0.00016145093336290576,0.000637415266409475,0.0005317971825199456,0.0004594873489297887
setA,setA,0.0026522725837421508,21,0.00012713771581498068,2.8657201121405812e-05,4.099891621310814e-05,0.0002874268486879396,9.779067852031893e-05,5.525257090388149e-05,0.00019408750441940968,0.000795832780423897,0.000597676459275969,0.00042741190836124033
yfaT,yfaT,0.0026252120118849627,22,0.0006518347660254897,0.0010074199254995458,0.000671045763630436,1.8647604736774925e-06,0.00013001935856123034,5.3246726733110144e-05,1.220236524934053e-05,6.334167343226805e-06,3.708305906454703e-05,5.4161119304359135e-05
yegT,yegT,0.0026213149512396353,23,0.00035190603180445775,0.00015079853768501178,4.132067825614187e-05,0.000186805970411876,0.00015289917961317008,1.1499114196320249e-06,0.00028555039095146334,0.000567017944761805,0.00042882638080772047,0.000455039925528357
malY,malY,0.0026185945917734568,24,0.00037811471508912385,0.0003856496031261455,0.00029814847963936005,0.000119433710745943,0.00014007718701447246,0.00015876222640216615,7.913559003327072e-05,0.000403086477439581,0.00033931731978751207,0.00031686928249588227
yeeV,yeeV,0.0025760932200299914,25,0.000575988876202652,0.0009980166729038303,0.0007144185295027634,2.123238415115847e-05,1.565114121242349e-05,6.499426988797511e-05,1.0235851673157362e-05,4.589260782896935e-05,5.458527106483532e-05,7.507761560222691e-05
cybB,cybB,0.0025646093492167096,26,0.00033877234292427094,0.0001310589350907996,0.00012284864109630945,0.00021795968373053632,0.00013450177940869745,0.0007496832706219063,0.00028580980873357283,0.00024244011987870233,0.00022096994247618014,0.00012056482525573405
yhdW,yhdW,0.0025513563691620268,27,0.0007312630878636661,0.00013982274433640306,0.0001374305906888828,0.00010188383545187809,0.0003199540473989017,0.0002149772418451249,0.0002674696634775366,5.513633349450491e-06,0.00040166579368605486,0.000231375731064128
