gene,gene_clean,score,rank,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
tyrT,tyrT,0.003017953459831435,1,0.0024530187544540344,0.00030939972739956297,2.635131103738618e-06,1.9599015552051044e-05,4.0507736267718265e-05,5.961281111057556e-05,1.2556129418290181e-05,4.3382291578712e-05,2.31552709906235e-05,5.408659195612879e-05
rpsD,rpsD,0.002961139238969731,2,0.002052864178773393,0.0004776079218558495,0.00010859742109961032,3.675302447555199e-05,0.00010747720369000249,1.8286445435421953e-05,2.2515413045007265e-05,2.7276795277884208e-05,9.055855533147873e-05,1.9202279985531792e-05
rrfB,rrfB,0.0029444069275364284,3,0.0017967494462507324,0.0008800567276673413,2.3927909241780188e-05,8.248273963933465e-06,4.342265457853128e-06,2.9358076297146284e-05,5.657009197364677e-05,3.2144870871062556e-05,2.475856877284431e-05,8.825069704008726e-05
rplO,rplO,0.002884367569266973,4,0.0020518860901260405,0.00041012066778646635,8.499493201718273e-05,4.0034718218294804e-05,0.00012988416738757914,4.91313835108557e-05,3.876009251367228e-05,4.1815823432944955e-06,5.664713390847365e-05,1.8726801455113355e-05
rpmC,rpmC,0.00287376019975046,5,0.0018918851743208722,0.0005393544814517378,0.00015954386647560088,2.0745519524271038e-05,7.812399516624246e-05,4.941905370113493e-06,6.73632265790932e-05,2.776784375264582e-05,6.838964365248886e-05,1.5644543457394234e-05
tff,tff,0.0028699774780637666,6,0.0018620657190642988,0.00031877632676426116,0.00017826451838126196,1.7397187758001874e-05,6.241510464305345e-05,0.00014265521776807906,4.5491923918528796e-05,0.00012173678649725701,7.788916326255978e-06,0.00011338577694276844
rpoA,rpoA,0.002852412308190213,7,0.0019304752219347207,0.0004470770205433566,0.00013701965081760076,1.2602018955761339e-05,0.00010994162703660414,5.102416346654693e-05,5.07959244116652e-06,4.45460931450622e-05,0.00011343200548343698,1.2149143659562239e-06
rpsK,rpsK,0.0028112853105219794,8,0.0020727388805241043,0.00041491932220249616,9.764070856257803e-05,5.7603260868979376e-05,6.932657465183648e-05,6.6806697650969156e-06,3.473609672523863e-05,1.832686710633222e-05,3.0341213868683417e-05,8.971716246634037e-06
rplC,rplC,0.0028075074148283937,9,0.0018669822066415093,0.00046662243276621846,0.00010520132015874049,1.8692628702809496e-05,0.00014937927781322088,3.395974348258909e-05,3.044169558405654e-08,1.5222492771470775e-06,0.00013237851921902652,3.273859507154841e-05
aspv,aspv,0.0027765886530703257,10,0.001878353090443245,0.0005331438876810188,3.754583610175859e-05,6.321939223880706e-05,4.428889882159649e-05,3.532149085273696e-05,3.62033272015545e-05,2.6778299325415985e-05,4.1877217645538804e-05,7.985721275865354e-05
alaw,alaw,0.0027493749791202026,11,0.0020641581988098344,0.0004244111297848416,5.0816067307610965e-05,1.5344761050672353e-05,2.6534724835061184e-05,1.555541927232823e-05,1.5160735997400602e-05,4.0887685326433186e-05,1.1997927471976455e-05,8.450832926404355e-05
rplD,rplD,0.002713317410596262,12,0.0017327264011675284,0.00040443764344490966,0.00010684480744843454,0.0001089263182574117,5.583013716459878e-05,6.681884755290471e-05,5.773081754650722e-05,1.0159740856735206e-05,0.00010504674999097821,6.479594716625288e-05
