gene,gene_clean,score,rank,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
tyrT,tyrT,0.0017908043146206054,1,0.0016545468614396599,1.1799539231839632e-05,7.905703846906659e-06,1.1690821764438557e-05,2.6165500759818127e-05,6.244310087932043e-06,2.8624516989085635e-05,1.4648763093697228e-05,4.951911567437803e-07,2.8683106250484193e-05
aspv,aspv,0.0017001380380307714,2,0.0015628122384388277,1.978048601436898e-05,3.6344916926136013e-06,4.193523735666059e-06,1.8238936803246668e-05,1.568634455933546e-05,2.7595362814693425e-05,2.249827439565182e-05,1.1578364852645215e-05,1.4120014723722374e-05
alaw,alaw,0.0016979520027631044,3,0.001485204085244301,1.996628375654044e-05,8.07283309360409e-06,1.2230969724855323e-05,6.244931749323445e-05,2.0576185784348433e-05,4.71729959803999e-05,7.835021099706489e-06,3.2344261634938155e-05,2.1000489511760626e-06
serV,serV,0.0016639365002064394,4,0.0013984524582312673,6.209808042961959e-05,4.7735580200586024e-05,3.9878815410972915e-05,1.5143823200450705e-05,1.3727966618551937e-05,4.36252772546568e-06,3.938009429452575e-05,7.923049353329983e-06,3.5234104741669367e-05
tff,tff,0.0016542446827089855,5,0.001317029603753319,6.0114664865137196e-05,1.6278628330689754e-05,3.3847031267072796e-05,1.7471171328440634e-05,1.930444132569592e-05,6.957827291151865e-05,2.0423039142001043e-05,6.2191092395879e-05,3.800673738923165e-05
rrfB,rrfB,0.0013016006349181217,6,0.0009559137315192131,4.3477973828792146e-05,4.048527626901115e-06,3.832595530547872e-05,1.3021826942515752e-05,4.9924382482749166e-05,1.9369247647874765e-06,6.622069845604482e-05,7.491118944926665e-05,5.3819424542372625e-05
ydjY,ydjY,0.0012415868549364305,7,0.00018292818307255227,0.00017298179502577712,0.00012866010529550566,3.5433664779050775e-05,0.0001209577975301394,0.0001880320698540733,0.00013197638212692796,0.00013575747118227359,9.024550587780669e-05,5.4613880192323724e-05
rfaZ,rfaZ,0.0012117578307764615,8,0.000119993337940659,0.0001586065256267899,3.5421235682319864e-05,0.00012138604077369553,0.00015332923323933942,0.00013221248182715032,0.000120054335802702,9.382464298008292e-05,9.830782244157684e-05,0.0001786221744621458
kanR,kanR,0.001162525298125222,9,0.0008799920972119197,1.0709348555496757e-05,4.985488353096937e-06,2.4178632491117767e-05,2.7911271934258952e-05,1.4194676015143229e-05,0.00010709008155731393,8.212239464686712e-05,7.48194022969004e-06,3.859367130317554e-06
csrb,csrb,0.0011622986010587054,10,0.0009847640444341393,3.917733666005761e-05,1.1086469461939265e-05,7.783804617334072e-06,2.9210055315574664e-05,2.0095294554377816e-06,9.860096432407258e-06,1.7754923306207507e-05,1.72172216133293e-05,4.343511976227881e-05
INTR_alaXW,alaXW,0.001156470409957255,11,0.0004565014695096133,3.2942029072829136e-05,9.864790228478753e-05,0.00016964693006705974,6.373760429677498e-05,4.933050253129524e-05,9.336254729109941e-05,4.0144995054117215e-05,2.2268996451590153e-05,0.0001298874333980885
thrU---thrToperon,thrU---thrToperon,0.0011527424644156208,12,0.0006746804747142034,0.00012334541336051446,1.2144502100186736e-05,9.16416502307259e-06,3.1659045895427205e-05,1.8370944385460616e-05,9.528509424710894e-05,3.049303340461017e-05,5.703185929972195e-05,0.00010056793198531472
truB,truB,0.0011498216058681858,13,0.00012645737698356292,0.0002875384277350353,4.591508187849439e-05,0.00011410374429538428,0.00016652403238329706,3.470258568237093e-05,9.34116006329735e-05,0.00017741959437123038,4.130502601313939e-05,6.244413589269766e-05
ygfM,ygfM,0.001137864561715502,14,9.899603121976156e-05,0.00015688709541034697,0.00023556918922255655,9.508251572564171e-05,0.00015319244298778005,9.789091426958471e-05,1.5419999002766861e-06,1.625056101338505e-05,0.00011188572769430681,0.00017056808427186201
mCherry,mCherry,0.0011248811118671157,15,0.0006556906670369578,9.034099227740391e-05,1.8128839294906367e-05,0.00010412845452291777,2.1498350776361503e-05,9.900509692274582e-05,1.627376805096586e-05,1.852287781283732e-06,3.9856305558594105e-05,7.810634964497895e-05
lolE,lolE,0.0011242692784773766,16,0.00018537964294096113,0.00012397810493186326,3.719756985146179e-05,0.00012028408525356777,0.00012707304977280833,0.00011026733801826066,5.199087594060178e-05,0.00012464299940185834,0.0001938762140229435,4.957939834305012e-05
yhbU,yhbU,0.00107627764863521,17,8.262446217368408e-05,9.290002277458943e-05,4.978429478951974e-05,1.755468114252263e-05,0.00023970933880621795,6.324159232668526e-05,0.00011119735675949083,0.00016450702259737025,0.00018240631200661944,7.235256525851049e-05
