gene,gene_clean,score,rank,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
frc,frc,0.0012584034266771096,1,7.582400719777875e-05,2.2524331667533745e-05,7.639150987450417e-05,6.825215116932911e-05,0.00014799917544071515,0.0003018806087454352,0.00014317877241102418,0.0001664295036972685,0.00017728029892808943,7.864306754543151e-05
ydfR,ydfR,0.0012051995295132535,2,0.00013427286488860868,5.0922757350607925e-05,0.00028860810999489046,0.0003694636645985018,7.927990559504201e-05,1.943413747333432e-05,6.307941777538843e-05,3.8849147927444525e-05,9.19458586310956e-06,0.00015209493804632586
yffQ,yffQ,0.0011945390797012277,3,0.00017208319437681918,0.000273080070205115,0.00015609539144775645,0.00019670179362307383,6.02236945600539e-05,6.440212745985891e-05,3.054132297976564e-05,7.175167409594678e-05,3.4260123496207076e-05,0.00013539968745663095
yccZ,yccZ,0.0011293292098725166,4,0.00013540071160031625,4.349182104283104e-05,0.0002633881385112085,0.00034310609141424594,7.46271249302263e-05,1.5204937795978741e-05,7.275392602495149e-05,2.6578082788316304e-05,3.638959422878776e-06,0.00015113941634156314
treC,treC,0.0011088764019990807,5,7.908360220994993e-06,1.0412075478236403e-06,2.579185270784821e-05,8.030728089241029e-05,0.00013519965125824383,0.0001740384930462912,2.0725329897485715e-05,0.0003444302897069925,0.00025042849049814467,6.900544622284567e-05
yihF,yihF,0.001073952910072366,6,0.00012913727051110208,4.926595920317937e-05,0.00024983333491185295,0.00031706510693285043,7.757385189154846e-05,6.721310756027522e-06,6.127682314245983e-05,2.438484995172313e-05,1.1947443899200635e-05,0.0001467469588724215
pyrI,pyrI,0.0010484378290583232,7,9.338939297607721e-05,4.289864689769542e-05,8.073199717744883e-05,8.204108349238821e-05,7.615831471076874e-05,0.0002744021229729762,1.6449816533630797e-05,4.437595992484534e-05,0.0002360178366952022,0.00010197265767729018
phnB,phnB,0.0010261334000080395,8,0.00026504540892980494,0.0004718928882681038,6.038082562807411e-05,0.00012375753197256637,9.474441550435434e-06,1.25391082614277e-05,2.7805254028803983e-05,9.589316239036023e-06,1.228832077580253e-05,3.336030435398475e-05
yicJ,yicJ,0.0010145346277658557,9,0.00010027684610052889,8.825089245350006e-06,0.000329596977320235,0.0002796997353612982,2.9943846365547357e-05,6.089040079564056e-05,1.868490754887486e-05,8.503773268345027e-05,5.6443988405770765e-05,4.513510393915983e-05
glpC,glpC,0.0009922404161412728,10,0.00010485131907499866,2.8251353042611307e-05,0.00010746788775390972,7.146344515427033e-05,0.00040270998137298755,6.041911383914557e-05,4.043035364494961e-05,0.00012796752967106232,4.195140167591812e-05,6.7280309114195056e-06
csgA,csgA,0.000988964210428267,11,0.0001481833501578698,2.4438895329916985e-05,0.0003514716616980028,0.00021187910634821194,4.7774255156506845e-06,3.517895202853457e-05,4.743329336370237e-05,7.701835657312842e-05,9.409031685833908e-06,7.917413772741558e-05
ycaM,ycaM,0.0009756051187487452,12,5.610262305019797e-05,1.793387464784364e-05,8.305592905720486e-05,4.525785353409606e-05,0.0004186780790061419,9.935577932326215e-07,0.00011120663298074027,0.00019817796946739914,4.2352683055545506e-05,1.8459161563430612e-06
yrfD,yrfD,0.0009718393802570735,13,0.00011117439371217537,3.1582394498655426e-05,0.00021654400960930187,0.00028123679619025427,7.904569643649894e-05,1.692160367702911e-05,8.138447627413679e-05,2.3493885431706274e-05,1.2504224178853292e-05,0.00011795190024846219
tehA,tehA,0.000959965118763448,14,2.4743768928743015e-05,6.175233431546097e-06,3.3030516803558804e-05,2.804153029191911e-05,1.0409045009639819e-05,0.00011452324275413533,0.0003318945410948464,0.00013145564150946284,0.00011702004177702578,0.00016267155716257083
yadN,yadN,0.000945420897751441,15,4.48970202097769e-05,1.0956424910989693e-05,3.2052726618682785e-06,4.6060460227191544e-05,7.809720706014997e-05,0.0002501603082851092,0.00010682514552416502,0.00018197964703920406,0.00011202577379284332,0.00011121363804014297
ybfC,ybfC,0.0008996750559396177,16,0.00018627172725333118,0.0005869644580114324,5.5440470512953094e-05,2.0641927861707194e-05,1.797235467448719e-05,2.7447760244429464e-06,8.28341300990568e-06,6.281887721758274e-06,4.724323421581828e-07,1.4601608527441434e-05
xdhB,xdhB,0.0008966068227029029,17,9.588601596694098e-05,7.791869354424126e-06,0.0003019386445685459,0.00027073034415085,8.974337637385819e-06,6.007266065166752e-05,8.121375233158362e-07,6.739106327802084e-05,6.499772896510435e-05,1.801202060664753e-05
gabD,gabD,0.0008905232042393374,18,3.1770638629013396e-06,4.518486349254026e-06,2.3474850138711265e-05,7.14924819147312e-05,9.722354048366279e-05,0.00014975575431617604,1.4922380620654484e-06,0.0002805069680461628,0.0001856192513079857,7.326256975768678e-05
yfeX,yfeX,0.0008742530555815144,19,3.6525790332648014e-05,1.0300722371848197e-05,3.899679566914982e-05,1.0302492188580115e-05,3.155879949803085e-05,8.905214452915343e-05,0.00032330475576595135,0.00011997571834431268,9.152612924353145e-05,0.00012270970763830853
yfaL,yfaL,0.0008638700070578469,20,1.7477009978083903e-05,5.6916150003771195e-06,6.025662616937413e-06,1.5390446873393846e-05,8.155768337838403e-06,9.064024672827952e-05,0.00033255527451232254,0.00013099679598450544,0.0001189716659261933,0.00013796552109991545
yjjZ,yjjZ,0.0008636953964072272,21,0.0001189066678130146,2.7729890698711023e-05,0.00038009050117975766,6.76170283508757e-05,8.945790740709749e-06,6.832170810053869e-05,3.954130096241863e-05,3.981215237031349e-05,3.534599485309259e-05,7.738436133779506e-05
pyrB,pyrB,0.0008605783959655702,22,5.1597349974064046e-05,2.63549859067337e-05,7.83664247604661e-05,5.338526241493055e-05,4.87578599429686e-05,0.00026102926543333446,6.039608805464385e-06,3.891630781848223e-07,0.00025285425074894825,8.180422490047532e-05
paaA,paaA,0.0008581545023881102,23,3.911781131914758e-05,1.0373723711535828e-05,1.1416254499681677e-05,4.2193004973469737e-05,6.791013167714432e-05,0.00021606903371613556,7.948976433407189e-05,0.00017411203102775814,0.00011358177043017859,0.00010389097669898696
emrD,emrD,0.000855569952252716,24,0.00013146328325863311,0.0002646221152429949,8.851985318104834e-05,4.498953584345565e-05,0.00017998536255606836,1.0153070253822351e-05,4.325124449358455e-05,7.305252502101975e-05,1.076292931684775e-05,8.770033085241214e-06
yqeJ,yqeJ,0.0008547868790153616,25,1.3015223133703063e-05,4.961599549558481e-06,2.6363245574909154e-05,2.902572971371948e-05,1.615705742698884e-05,8.632079166549678e-05,0.00031346687139446666,0.00012278519977763764,0.00010912352516878394,0.00013356763561009767
yidP,yidP,0.0008510869586008523,26,1.5489661263353316e-05,1.3610475128763317e-05,1.3314504778737508e-05,7.127212693863632e-05,8.278236391074745e-05,0.00013460892957777119,3.753349504431419e-06,0.0002690396303297357,0.0001809810564516812,6.62348607169948e-05
yagK,yagK,0.0008478485559458253,27,0.00010320437041624693,4.655164001765712e-05,0.00018701289048299248,0.00023790970790057143,4.60032935513579e-05,2.5947369501318703e-05,6.014066768941327e-05,1.4301877839668658e-05,6.798464452526363e-06,0.00011997827409407252
ttdA,ttdA,0.000836368777650834,28,3.43965444664884e-05,8.922607882617056e-06,1.6437807655094156e-06,3.354839015993717e-05,6.58586474058193e-05,0.00023320054039412347,9.825625088946681e-05,0.0001633986962813204,9.238699097808202e-05,0.00010475632842746996
adiA,adiA,0.0008340954143361741,29,4.8207352073127286e-05,1.6236883969672964e-05,7.207376510289758e-05,5.568173410098003e-05,0.0003389211959436098,2.7121335607262148e-05,8.848308668429543e-05,0.00014225839498670508,3.1969498310440523e-05,1.3142167557183298e-05
