gene,gene_clean,score,rank,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
hdeA,hdeA,0.0020554775736712234,1,0.0005335773854716559,4.84406415023393e-05,0.00023585527475103893,0.00032316205371323177,0.000361512048375056,0.00020871459137061665,0.0001095690516960846,0.0002061301908529097,2.6940667686215673e-05,1.5756682520750738e-06
pyrI,pyrI,0.0019466194408320084,2,0.0003045085149129795,0.0001271401303448341,0.0007365536189196581,0.0004592000823418097,2.5975596434411338e-05,6.351788888609796e-05,0.00012586550236704536,3.404912504334955e-05,6.191544896538301e-05,7.893532616439988e-06
hdeB,hdeB,0.0018751939710627307,3,0.0003348274317472137,4.987180699145215e-05,0.00023058875313157232,0.0002803023432540249,0.0003639102745019083,0.0002368846054820674,0.00011898276270862462,0.0002206084388655121,3.4862428722132474e-05,4.355125658222638e-06
fliC,fliC,0.0017287530725281256,4,7.776727123904706e-06,9.579825452813382e-05,0.00043756526752709667,0.0005845335914556211,0.00017798493107373881,7.819516814060256e-05,1.3791850078949214e-05,0.0001905137399154693,5.953329327167036e-05,8.306024941293881e-05
gadA,gadA,0.0016998711445384365,5,0.00030259900728202104,9.5171019977185e-06,0.0001016757680052446,0.00028750381181858365,0.000289194103309063,0.00017642198744360015,4.5322334422826465e-05,0.0002584247091473276,0.0001467452235784953,8.246709753355599e-05
pyrB,pyrB,0.0015943778383399414,6,0.00015672679005844552,0.00010744450573647601,0.0006593826586291716,0.0003703616423681882,3.82623634890173e-05,1.842989514711524e-05,0.00014112348778380792,1.2617686245263304e-05,2.9128744268210074e-05,6.09000646142463e-05
rplC,rplC,0.0015043251236164536,7,0.0007589164847084791,2.660113611348452e-05,5.288735128639649e-05,0.00027962762956540817,0.00015461015254065192,6.864593613666931e-05,9.207690599570434e-05,2.0872760279072784e-05,1.0552442554093217e-05,3.9534324436493904e-05
carA,carA,0.0014904002252491486,8,0.00023226183222549044,4.4817098978523526e-05,0.000511089212223639,0.00033735000773606536,1.578526258806672e-05,6.742453669373584e-05,5.6571681583616875e-05,1.355238905038876e-05,7.5699946203347e-05,0.00013584825796627512
yjgF,yjgF,0.0014873841812993842,9,0.00011620570464046935,0.0001096590067418803,0.0005367041469905835,0.0003667973819438176,2.0945081839768045e-06,8.80541933262432e-05,8.755869387136724e-05,3.7744810819757354e-05,7.831784101912338e-05,6.42478937621654e-05
insO-2,insO-2,0.0014821233938401034,10,0.00020401402534261475,0.0006963016882744811,7.474958219061004e-05,1.4357093957166654e-05,0.00010583871596560633,8.308062866580519e-05,6.71834284556335e-05,4.610325990082349e-05,0.00016418295905362026,2.6312012033742073e-05
yigZ,yigZ,0.001480227405280746,11,0.00018329386235662638,4.412466711005415e-07,2.7547193331073954e-05,6.994459109665194e-05,0.00021506704946553005,0.0002511393877369701,0.00011913235057854507,0.00021654099054053334,0.0002136830548715921,0.0001834376786321223
dps,dps,0.001392600283937365,12,0.0005254838320686184,6.470334461746764e-05,1.9286824302111575e-05,0.0002510712699819696,0.00010411898815297147,2.3382718114963206e-05,0.00012169441013281767,7.37555760788883e-05,5.335818446966278e-05,0.00015574513601789426
raiA,raiA,0.001380066197420528,13,0.0002284340039983091,3.0422175685576145e-05,8.082145027024653e-05,0.00011201883943842312,0.00023750889785971192,0.00012663186272711177,3.79311779091956e-05,0.00021394160946528834,0.00015257647492673872,0.00015977970513992678
argG,argG,0.0013541736148153052,14,0.0005199538103639796,4.842977105005206e-05,0.0003167405803090849,0.00018040856441799106,6.875254570517222e-06,2.8072589640339594e-05,6.250448583152584e-06,3.3120601763699446e-06,0.0001226291138268836,0.00012150142187693462
elaB,elaB,0.0013527016050344702,15,0.0005610767940266993,7.40299742197014e-05,0.0001559486649480201,0.000150229331730823,0.00015259401027718615,5.894439589635469e-05,2.815943111297861e-05,9.799417613773637e-05,3.0931387213015116e-05,4.279343947195529e-05
cheA,cheA,0.0013398656058741308,16,4.779274369733623e-05,1.431254587922042e-06,0.00033559239054365585,0.000383899975543373,0.00013657279986067268,7.119448276894979e-06,8.587058757063354e-05,0.00010973871285513168,0.0001113377631440243,0.00012050992979448633
yedN,yedN,0.0013303897901073905,17,3.530397344826507e-05,0.001072180097719764,6.250422621721229e-05,6.995859474826225e-07,9.06065023431192e-06,9.741271245068773e-06,0.00010641778470813553,9.822448649715583e-06,1.6548541778880932e-05,8.11121015855379e-06
gadC,gadC,0.0013267784294138584,18,0.0003425514987285404,4.97542787655605e-05,6.552039364669305e-05,0.00025599310803642945,0.00018588045329212663,0.00014508310802180887,6.720446634841051e-07,0.00016005311229567724,1.738582246459363e-05,0.00010388460949894491
flgL,flgL,0.00131355696056687,19,4.833895421240053e-06,0.00032626253198366335,0.00024094139826514335,0.0003709502741050374,0.00010261604545260278,9.500188465056296e-05,5.742087460493951e-05,4.811964516580801e-05,8.203422545521856e-06,5.920698837235047e-05
rpsD,rpsD,0.001300824067422569,20,0.0006820979103220624,4.387970378485283e-05,0.0001330832542998738,6.26586423958032e-05,9.228696603290093e-05,0.00012454724235619566,7.998302187833697e-05,1.3923641291042256e-05,4.999324908849461e-05,1.8370435973006308e-05
osmY,osmY,0.0012999161420594223,21,0.0004681604643894968,7.580769423079073e-05,0.00017179764151591565,0.00018890845816421983,5.416567012406196e-05,7.656852530468055e-05,7.422927640312794e-05,0.00011531721590724604,2.388863618115234e-05,5.107255983873058e-05
gmr,gmr,0.0012879541546479479,22,2.0009088218616614e-05,0.0004403464507695096,4.201374625676538e-05,9.379526676479326e-05,0.0001832577746555555,5.547891000912463e-05,4.416450966134637e-05,0.00025572304034873284,7.308728224412026e-05,8.007808571938336e-05
rpsB,rpsB,0.001285091318482415,23,0.0004207002910642895,3.2751167185925875e-05,0.00015336960928778934,5.538823489971944e-05,0.00014586674738156856,2.100606001744437e-05,0.00010753278758451312,9.368302055780422e-05,0.0001364675725225992,0.0001183258279807615
hha,hha,0.0012842615811258329,24,0.00017860139329606677,0.0005807833399252844,2.8576591547477366e-05,7.461690162137411e-05,0.00011594114742700185,5.03914150858822e-05,5.1948795325464535e-05,5.860249712896808e-05,6.996461378668133e-05,7.483488598163237e-05
rplA,rplA,0.0012788390988029074,25,0.0006920508318348654,3.974160080186707e-05,9.737210279243867e-06,0.00016424934118295102,0.00014870986251524183,9.04021442735394e-06,2.2352675627991462e-08,6.357785289386319e-05,5.7863426906356e-05,9.38464052855372e-05
rplP,rplP,0.0012776502788431885,26,0.0007126152776645697,1.2409822982137987e-06,6.705007169711637e-05,0.00012250740394484063,1.2810257165373795e-05,0.00016496513559799173,5.923003558419151e-05,1.3859303740943608e-05,7.40239189789935e-05,4.934789217095387e-05
ychQ,ychQ,0.0012654203255824225,27,0.00010299077649332621,1.3804143839645073e-05,5.929415669771857e-05,2.5746868551696294e-05,0.0001899218145605388,0.0002226097753042104,0.00011130502635212257,0.00024169458400708405,0.0001648711718387361,0.00013318200793734428
rffM,rffM,0.0012601241434932735,28,0.0001516069480510553,0.0006244337696302719,9.503029788680193e-06,5.7446118550134965e-05,2.1074777434950467e-05,5.1051574782415656e-05,8.21147400264307e-05,8.534894050454865e-05,8.158046062615335e-05,9.596378409863256e-05
rplF,rplF,0.0012588265512947143,29,0.0007740400137802418,2.361764203835597e-06,3.361251963530911e-05,0.00017479275799456775,0.00010246619305477988,2.1258224358044342e-05,5.084192927766184e-06,6.800869783653163e-05,4.653741349439582e-05,3.0664774009241936e-05
arcA,arcA,0.0012499944101084434,30,0.0003405899487604896,0.00026959307471423165,1.4756676993506497e-05,9.998347594298944e-05,3.760269151556517e-05,9.510288528577624e-05,8.116719559243441e-05,0.00015497386499232645,0.00014137461587359067,1.4849980437533111e-05
rplW,rplW,0.0012479114855734497,31,0.0006493602170776023,6.103830714363871e-05,1.3160035563375057e-06,0.00018179860682005498,5.389169583419659e-05,2.482416711881553e-05,5.5808870958575936e-05,9.590332082348424e-05,0.00012077211682748317,3.198179413260943e-06
ycgR,ycgR,0.0012450588025328677,32,4.053773288188195e-05,0.0004135457059219389,0.00017789325899807222,0.00027212959501678007,6.693535766208428e-05,2.505197559660324e-05,2.8121097631861008e-05,0.00010056565843420178,5.39021696742071e-05,6.637625071523686e-05
ybiR,ybiR,0.0012421966806372082,33,7.190893942114185e-05,1.965847072266621e-05,1.3285089134140252e-05,3.352712819751545e-05,0.0002498011866375335,0.0001555149072944615,0.00012817445831027569,0.000306153597130812,0.00017956105609127096,8.461184769739068e-05
ygjG,ygjG,0.0012353171148907847,34,0.0004871925896849528,6.93728227768828e-05,5.424668184147198e-05,0.0001768526820933207,7.551926585928147e-05,3.323979748734818e-05,0.00013127050720194354,0.00016838106060524258,2.0381742534900757e-05,1.8859964805439974e-05
ybhK,ybhK,0.0012319799984605053,35,0.00011878600681143565,0.0007762511127426656,2.362174088542658e-05,5.9103100683279185e-05,4.321013932515563e-05,6.326073475854834e-05,3.9627484717167444e-05,6.056601084316481e-05,3.441228830453446e-05,1.3141379389127436e-05
icdC,icdC,0.0012316603352894705,36,0.00038472635116355505,0.00016135737954515292,1.5807617449172614e-05,0.00014369250315507986,9.340683940563886e-05,3.746324052745919e-05,0.000100240758250326,0.00010291246026783352,6.31938072519463e-05,0.00012885937827330623
hdeD,hdeD,0.0012269976032188328,37,0.00022899024882072597,3.0421715813931996e-05,3.6084371596825713e-05,0.0001860143430064015,0.00024058278658689583,8.674304740289683e-05,0.0002555501557337106,9.66723596695077e-05,4.392436557628245e-05,2.2014209011654263e-05
serA,serA,0.001224006495639234,38,0.000421831151902967,0.00011719471139375458,9.56442192815988e-06,6.959287204037597e-05,0.0001825235263802884,8.296063472862977e-05,6.194768501930889e-05,9.69410417197808e-05,0.00013332706493597484,4.812338558999399e-05
icd,icd,0.0012172687157925794,39,0.0003075085485256498,0.00010268241029539276,6.713301228938177e-05,0.000270678594609191,8.647242166809867e-05,4.103747969080404e-05,0.0001118432875053706,8.864970048853789e-05,3.682878513506956e-05,0.00010443447558508311
rplX,rplX,0.0012139209263005608,40,0.0006269654521383004,3.3067392061256046e-05,0.0001893283225047567,7.688379225037976e-05,7.669896092958156e-05,7.976722390829138e-06,1.0423603027023134e-05,2.043441762675857e-05,5.952744315989848e-05,0.00011261482021177705
nrdB,nrdB,0.0012069386625569909,41,0.00011136530438982947,4.316392645376176e-05,5.4355137715198475e-05,0.00012709303616110652,0.00020144461369885595,0.00013692747617932594,8.001188178178866e-05,0.00016373461506309853,0.000269441938971178,1.9400732142847268e-05
deaD,deaD,0.0011883994420034535,42,0.0003151252770472085,9.240587028874219e-06,0.00017304195104989826,0.00028824089580984584,4.483591790908429e-05,6.536713353828991e-05,0.00013881112763627652,2.526089194720188e-06,4.863288538465613e-05,0.0001025775774045998
ecnB,ecnB,0.0011856800638248503,43,0.0003375085718831401,1.66860772790264e-05,0.00015327624001121732,0.00010806056953996343,0.00013311418469239946,9.6895094123215e-05,4.414998090728175e-05,0.00018257962874977158,7.639945117843727e-05,3.7010265460397865e-05
aroE,aroE,0.00118405205593583,44,0.00011475998275064058,1.1088291345111593e-05,0.0001486681316855418,4.223689611178175e-05,0.00017577027234182596,0.0002234574275942207,2.113656025601833e-06,0.00024914218010837417,0.00011546204812525107,0.00010135316984748055
rplR,rplR,0.0011839712935946601,45,0.0006232865715529518,0.00011156026433732477,9.890647067133821e-05,0.00013060695823692857,1.4131396348350964e-05,8.668520121433312e-05,3.855277441986284e-05,2.484541224485104e-05,1.73936065542218e-05,3.8002638014496886e-05
rplD,rplD,0.001181214679615449,46,0.0007750601480358658,4.329544883550667e-05,7.69616573594401e-06,0.0002118623040324503,1.1433077973491196e-05,4.957100250865611e-05,1.2358420377432723e-05,3.680208176690833e-05,2.7421537852582104e-05,5.714492496611788e-06
yhjH,yhjH,0.0011776728338292303,47,1.6222928937710765e-05,3.636648041901436e-05,0.00027271688374459215,0.00033776199680468833,8.227401709023355e-06,0.0001422793684425315,4.3233777771403825e-05,0.00021490134359620214,5.478992933402177e-05,5.117272307004185e-05
rlmB,rlmB,0.0011682791118497388,48,7.955667353418282e-05,0.0005254011235186278,5.910385554881563e-05,2.153615503917315e-05,0.00011783528154328475,2.914472729110932e-05,4.1347806361486774e-05,0.00015848183035518191,0.00013350116573171409,2.3704929261625155e-06
ppiC,ppiC,0.001165103611524445,49,6.233360902164677e-05,0.0008931145350342313,6.764685486548773e-06,2.7458762712534247e-05,3.557112063202397e-07,1.1880911618053978e-05,6.160823933720673e-05,2.0633711646907897e-05,5.553216841012066e-05,2.5421277050874693e-05
rpmC,rpmC,0.0011611793047058014,50,0.0006369389362920664,5.445958899899558e-05,3.633484157287115e-05,6.715494745160251e-05,6.6338088171097e-05,5.84100844363809e-06,9.957104120671088e-05,0.00012802041682454586,7.165819530890854e-06,5.935461621338301e-05
ytjA,ytjA,0.001154996380082342,51,0.00043199980467282964,5.940151771747161e-05,2.5415945854812475e-05,0.00012579443570005983,0.0001922232459743846,3.391630691853871e-05,9.636691011117289e-05,8.167609343926694e-05,5.320243419292046e-05,5.4999685500885066e-05
carB,carB,0.0011509326953448888,52,0.00021501756914332022,7.124982942958665e-05,0.0004045707930188045,0.00031634953439762273,6.7042313877883e-07,5.251892062860791e-05,5.419206337926019e-06,3.3422043066187694e-05,2.838653288854547e-06,4.887572289519962e-05
amtB,amtB,0.001141269537275051,53,6.98840907147946e-05,0.0008312120208304089,6.046314558510358e-05,1.036278500746282e-05,2.6291441591286442e-05,7.386700314540633e-05,1.8389624356091546e-05,2.3871038751737065e-05,1.4268577996999591e-05,1.265980929576007e-05
cutA,cutA,0.0011379630318884791,54,0.00014862426838589923,3.0794960008601575e-05,0.0002161124729131667,0.00011215401349120899,0.0001295923703240427,0.0001240570985573884,3.133478159167759e-05,3.652843527174747e-05,0.0001816312847059233,0.00012713334663882328
