gene,gene_clean,score,rank,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
cds-AF52_RS21745,RS21745,0.002846101012750729,1,8.034834839788098e-05,0.0011077113251954738,1.3846725590849415e-05,4.020018014292414e-05,0.00048202157143387294,0.0006454151725371885,0.000456376840415076,4.989014538418311e-08,1.566491988369188e-05,4.466039008386607e-06
cds-WP_050484282.1,050484282.1,0.0025867157536221294,2,0.001969607540085401,5.237828636047572e-06,0.00038282055292785755,1.1212331236406974e-06,6.895737594307937e-07,4.224296722844712e-06,2.2026625845485694e-06,1.982520738828442e-05,0.00019586236753796338,5.124490856110384e-06
cds-WP_013815099.1-14,013815099.1-14,0.0025025951161210874,3,0.0022645865074043267,3.291153037231579e-06,4.6654630312847595e-05,1.8902177171371106e-06,1.6618870778363613e-06,6.125607893068109e-06,2.5972125320723637e-06,1.5140809792473125e-05,0.00015545885789559335,5.188232458501423e-06
cds-WP_013815099.1-73,013815099.1-73,0.0025025731587143625,4,0.002139934486545816,4.958701389857234e-06,0.00016169641438006706,1.560965679922127e-06,4.186570302437188e-06,5.28557146820598e-06,1.4827666277478144e-06,1.2845115735672172e-05,0.000161396156174667,9.22641040997062e-06
cds-WP_013815099.1-7,013815099.1-7,0.002481783340131846,5,0.002210806569318634,8.302980211537103e-07,3.406649327719728e-05,6.923485909167235e-06,3.2018951219609337e-06,9.556135663766926e-06,1.0002592844376218e-06,2.782932109879977e-05,0.00018379010476244907,3.778777674278639e-06
cds-WP_013815099.1-4,013815099.1-4,0.002479300668849844,6,0.0022789026294535897,9.42117710754842e-06,5.679234439237182e-05,4.705882548496435e-06,1.1089375687664978e-05,2.5327775849478444e-06,2.1573314973740924e-06,7.954143352436393e-06,0.00010226685352134998,3.4781537040638423e-06
cds-WP_013815099.1-81,013815099.1-81,0.0024738351373406547,7,0.0022938624097346475,7.505837148216181e-07,6.61247949383702e-05,6.027984119437008e-06,1.074318768877548e-07,6.882814713259296e-07,1.2310939975249426e-06,8.634216989081017e-07,9.665345080940245e-05,7.525684979329174e-06
cds-WP_013815099.1-77,013815099.1-77,0.0024720599737963382,8,0.002271198317304964,9.21144133580423e-07,6.051625175080588e-05,2.130537652662847e-06,1.2292221238953925e-06,3.0839175542318543e-06,3.41488092914286e-06,1.2583749141936503e-05,0.00011132493469612798,5.657018508990535e-06
cds-WP_013815099.1-12,013815099.1-12,0.0024606468542046453,9,0.0021307814972118143,4.37372093423137e-06,0.0001484335008774934,5.801625186115667e-06,1.1152677787755905e-06,8.445383324914628e-07,2.6444972413395017e-06,1.5495023316925684e-05,0.0001401705617361547,1.0986621589303412e-05
cds-WP_187079192.1,187079192.1,0.0024599225668760646,10,0.0021760334635556756,3.4983103403688607e-06,0.0001285212321862095,1.1250304917414638e-05,4.155575733263111e-06,2.706506574980703e-06,1.385726327750061e-06,1.925208322965498e-05,0.00011189990989014915,1.2194541205975033e-06
cds-WP_032430073.1,032430073.1,0.002439837837618525,11,0.0017402843962250618,5.149709447900125e-06,0.0005605578446147951,4.667522842848031e-07,2.0065328804505568e-06,6.084202584044018e-06,7.226079603487515e-06,1.9059453540670999e-06,0.00011509856433000399,1.0578102944306088e-06
cds-WP_013815099.1-26,013815099.1-26,0.0024390898053710227,12,0.002196371305166116,2.5467744376429038e-06,1.6398356253456258e-05,4.869249055245492e-06,4.118478536935924e-06,8.571431629894276e-06,5.5122529691773176e-06,2.1363845047991156e-05,0.0001759292929706965,3.4088193038673026e-06
cds-WP_013815099.1-36,013815099.1-36,0.0024337526425487637,13,0.0022750549756914537,1.119097086672882e-05,2.3787242800378684e-05,7.942494048440915e-07,1.2939777850354893e-05,3.3497779833695757e-06,3.831238610282188e-06,6.777238611745142e-06,9.270357523431978e-05,3.3235954952864057e-06
cds-WP_013815099.1-46,013815099.1-46,0.0024316058420246886,14,0.0022719462335298577,1.7358333400242777e-06,0.00011309513809192833,6.043342288248596e-06,3.4894943542455907e-06,5.150704325795061e-06,3.673515478633939e-06,3.4713238781770724e-06,2.1280054384704154e-05,1.7202023530740205e-06
cds-WP_013815099.1-42,013815099.1-42,0.0024287900223350536,15,0.0022557973145523953,8.854093901151946e-07,2.0368333341047584e-05,2.0525659560647826e-06,3.9872290332539154e-08,3.8056971270184472e-06,7.529774254046711e-07,6.633339695616815e-06,0.00013296680785176366,5.487704705294332e-06
cds-WP_013815099.1-6,013815099.1-6,0.002425040131040223,16,0.0022383552646147325,9.59629201995543e-06,0.00010337183080952718,1.046293874421899e-05,1.36052092793277e-05,5.798469047572248e-06,1.68424448962805e-06,2.9232517744915106e-06,3.73060272847507e-05,1.936602976019211e-06
cds-WP_013815099.1-72,013815099.1-72,0.0024219322970314345,17,0.0020891881018241347,3.588885542608111e-06,2.0849780024436867e-05,1.3745362670730807e-05,3.0824023912789354e-06,1.7016227060019083e-05,1.0262541231323992e-05,3.182674894502492e-05,0.000232282310880504,8.993646137280764e-08
cds-WP_013815099.1-18,013815099.1-18,0.0024212916551686775,18,0.002224357508164393,2.629155333029692e-06,3.988297391793714e-05,6.27799208115928e-07,1.722563627594748e-06,2.9210720981665014e-06,3.1461529912039735e-06,6.1303541707505756e-06,0.0001369585594969012,2.915516160585607e-06
cds-WP_013815099.1-31,013815099.1-31,0.0024193162781499223,19,0.002124819889622648,2.5368615997212837e-06,8.667104263607384e-05,6.171885106438648e-06,1.908884547577746e-06,9.986120122023782e-06,7.8901796164229e-06,2.4888483473796716e-05,0.00014968241848903254,4.760512936186618e-06
cds-WP_013815099.1-40,013815099.1-40,0.0024164063476593512,20,0.0022667285108395802,1.4785336245545833e-06,3.844687302766044e-05,4.277965723402301e-06,3.144910382535076e-06,1.4885059200439094e-06,5.366774725957272e-07,7.421556069652437e-06,9.270413007876883e-05,1.7868452055776224e-07
cds-WP_013815099.1-56,013815099.1-56,0.00241159547252808,21,0.0022219230181942684,2.705349806194377e-06,3.106006319543941e-05,1.5978664439610443e-06,4.4043144134026795e-06,4.3026796576300685e-06,1.3000913598027026e-06,1.5029165969904061e-05,0.0001255718634490392,3.7010600384374884e-06
cds-WP_013815099.1-53,013815099.1-53,0.002407161194816767,22,0.0021776707892426504,1.2324909306935647e-07,0.00012700576868045717,1.7538309122182494e-06,1.9367757896768267e-08,3.844938679313895e-06,3.1598623336720795e-08,1.0207515061950633e-06,9.305117324647278e-05,2.6397270751565223e-06
cds-WP_013815099.1-80,013815099.1-80,0.002402311819059679,23,0.0022884569991808413,1.065708790738304e-05,2.9774551338869758e-05,5.340766895144029e-06,1.1864481400595248e-05,7.525631810216507e-06,1.7655678946735272e-06,9.398680215605016e-06,3.0373103440871447e-05,7.154948975479016e-06
