gene,gene_clean,score,rank,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
phnJ,phnJ,0.002509002529024684,1,0.00023593798433926372,0.0002465974037611778,0.00036127757370078357,0.00037674816793984204,0.0007157663588971591,0.00032505452525175287,5.596711741773527e-05,2.592042335810413e-05,6.540016081334944e-05,0.00010033281354551622
ybjI,ybjI,0.0023665369888930025,2,0.0002849648429177027,0.00027261995853216053,0.00037135565694158075,0.00024747193072049354,0.0005825437755744886,4.936806167395629e-05,2.1779576295380052e-05,0.0001855765457454902,0.00020071974381401507,0.00015013689667773493
truC,truC,0.00227758550390375,3,0.00016235131330933454,0.00022095664211831047,0.00031729727768259206,0.0003474227802971039,0.0006968371709780121,0.0002919173749065436,4.930677292391166e-05,4.220760282502537e-05,5.513477192572112e-05,9.415379693719496e-05
gcvT,gcvT,0.0022604990218783776,4,0.0003557564237400845,0.00029743127479218,0.00011676952295707515,0.00010282621271110118,0.00013757455868317547,0.00047856951674071015,0.00047892989686797643,7.012265064718171e-05,6.689804836505326e-05,0.00015562091637383947
ygjK,ygjK,0.0022364722038112766,5,0.00014240091177372127,4.964913989513566e-05,0.0001861146567944024,0.0002578766158742283,6.841184718446072e-06,0.0006299266523389855,0.00033841400366245845,0.00028776727032695,0.00020503799495312462,0.00013244377347382434
cysG,cysG,0.002216037288078268,6,0.0005623201192794762,0.00038248315815397936,2.937206171441268e-05,0.0001163664172278303,0.00021113467147396836,0.00044907166056189847,0.0002823899715475683,0.00016294779345744307,4.777272856862882e-06,1.5174161804828022e-05
ilvI,ilvI,0.0021905901428851664,7,0.00042553513784178296,0.0006762903641678615,0.0005071261454611096,5.5029614533154715e-05,0.00014724218738979838,0.00010886066674543883,0.00014154421529699512,6.138905946963538e-05,3.453574283842918e-05,3.303700914096086e-05
yagX,yagX,0.0021634887394014484,8,0.0004891232246610819,7.207545413171909e-05,9.497479521237494e-05,0.0006461519364742499,0.0003140982843660801,0.00019414829394831854,0.00013192484053265073,8.665932450946095e-05,9.274454305934662e-05,4.158804250616559e-05
ybgO,ybgO,0.0021622582501042292,9,0.00057707549918552,0.0006424108654787635,0.000548088899077316,0.00010499796560736219,1.9016196765981118e-07,1.9951360997375577e-06,7.306117075927147e-05,7.57675323381227e-05,6.988098274126144e-05,6.879003684921465e-05
ydhY,ydhY,0.002121740677562481,10,0.00042322725992557323,0.0005609215322726719,0.000388368289845227,7.798308540762989e-05,0.0002183307319841679,4.4273070094056306e-05,0.00010071536810258047,0.00018918334916841819,5.294027289173433e-05,6.579771787042187e-05
ygeX,ygeX,0.0021160801935061423,11,0.0003466920963996142,0.00029081202322600477,9.88325778235283e-05,7.366634437868537e-05,0.00012723705389597616,0.00043872152008939103,0.0004549174842819352,6.869701053156582e-05,7.60190007705826e-05,0.00014048508210885897
lpxB,lpxB,0.002041332815592847,12,0.0005285537389671886,0.0003201753123918163,2.4977286404759224e-05,8.66274301158705e-05,0.00019771960200524566,0.0003753532349415543,0.00020430013048448192,0.00020839019775306425,4.082964267709045e-05,5.440623985177536e-05
rluF,rluF,0.002041332815592847,13,0.0005285537389671886,0.0003201753123918163,2.4977286404759224e-05,8.66274301158705e-05,0.00019771960200524566,0.0003753532349415543,0.00020430013048448192,0.00020839019775306425,4.082964267709045e-05,5.440623985177536e-05
yafM,yafM,0.002041332815592847,14,0.0005285537389671886,0.0003201753123918163,2.4977286404759224e-05,8.66274301158705e-05,0.00019771960200524566,0.0003753532349415543,0.00020430013048448192,0.00020839019775306425,4.082964267709045e-05,5.440623985177536e-05
maa,maa,0.002038661840510318,15,0.00016799342401448047,0.00016982268575674395,0.00025579002041954425,0.0003350411004753142,0.0006297503875787743,0.0002723889964339671,3.094185801453967e-05,2.875633978453167e-05,4.3850442174739723e-05,0.00010432658585768228
yajR,yajR,0.0019653305483612322,16,0.00017154485799879648,3.996795238434761e-05,0.000385653068057403,0.00018823954697948927,8.023586269719908e-05,0.00037139842397955307,0.0003926397121462112,3.0570447739362635e-05,0.0002250760418199034,8.000463455896672e-05
racC,racC,0.0019478037892817679,17,0.00037655427836429995,0.0006038412033110615,0.00043703987624941766,3.999434795815894e-05,0.00013679464479380527,0.00010977413153351782,0.0001257823162286066,5.2576087751163384e-05,3.440695946278847e-05,3.1039943628948315e-05
yaaI,yaaI,0.001933989874604501,18,0.0003926449098472642,5.5145173075881644e-05,0.00024716566117670256,0.00021016994438915627,0.0003898936535440709,6.44023311032353e-05,0.0004585263118560969,6.532247359488748e-05,2.290515488210028e-05,2.7814261135105186e-05
cpdB,cpdB,0.001915751159575513,19,0.0003076072955414153,5.708193245808039e-05,0.0002273874334795155,6.67843542292926e-05,0.00024100245558464115,4.647783605026118e-05,0.00028405849147542813,0.00046498337245733963,0.0001243110987567978,9.605688954274124e-05
spy,spy,0.0019047546727741593,20,0.0001465696746664143,0.00010074214385534486,0.00019172462028015482,0.0002805530383922199,0.0004388070701796933,0.00022320725788233374,0.00021817335367565652,0.00013119886428765171,4.1319030872783356e-05,0.0001324596186819067
ygfQ,ygfQ,0.0018997289118762534,21,0.00022171729107277267,0.0002037903103804046,0.00011334558840566753,0.00014194800344351796,8.455563624578665e-05,0.0003731658787244199,0.0004166885324872443,0.00011279006143820592,6.937941703628994e-05,0.00016234819264194386
eutA,eutA,0.0018941241459976917,22,0.000385091486269029,0.00024176405871585919,4.913606204317171e-05,0.0006185552725213038,0.00023988365890082976,9.275111291451347e-05,0.00010748187652858781,6.204186063894928e-05,8.115184289109295e-05,1.62669145743549e-05
yjcS,yjcS,0.001879498675807452,23,0.00041621212375067974,4.4488969934230865e-05,0.0001498447565680449,0.00039915649115545036,0.000235596399786044,0.00018246580823258696,0.00011183650399966369,0.00016988825251958926,9.506084819025358e-05,7.494852167090878e-05
tmRNA,tmRNA,0.0018659695283025812,24,0.00011087507581219974,0.00042532692739249826,0.0005500341794960697,0.00023700138583562693,0.00021936976882221533,6.545069688495344e-05,3.3171500373225504e-05,0.00016221832306388939,2.2382062991924997e-05,4.0139607629977546e-05
sgrR,sgrR,0.0018516483963757246,25,0.0002185962444278717,0.00021110234933117647,0.00010794220359216718,0.0001268124055297527,8.807375291731937e-05,0.0003651198868619085,0.00041131891732271007,0.00010470257750767452,6.819587908755565e-05,0.00014978417979758833
ybfQ,ybfQ,0.0018503444839648535,26,0.00023118394849026862,4.542071503465419e-05,0.00025718053243441635,0.0002166758095415987,8.648391061708708e-05,0.00048763190568717807,0.0003305747854257266,1.4683848783742989e-05,0.00017701112233118913,3.4979056189914646e-06
glnP,glnP,0.001844653035619488,27,0.00011705062441422341,0.0001838267278204762,0.00023212267575510698,0.0002873195597178631,0.0006114715050143866,0.0002471870944041971,3.243449608757725e-05,3.0052987270695948e-05,4.052567195609735e-05,6.266169317886385e-05
yjhA,yjhA,0.0018244700354854376,28,0.00032932882740017684,0.00017025828945837064,0.00026260761215178894,0.0002506677777192074,0.00021595769873209298,0.00018419556844799113,8.919018996161377e-05,0.00019821834908458156,6.519730649492545e-05,5.8848416034689e-05
yfdV,yfdV,0.0017970396618041677,29,0.00020918984181102587,0.00013930106029134374,0.00022847597310803625,0.00025453524469432347,0.0004418081603414125,0.00020941618070013487,5.402256243118881e-05,4.8299289311707796e-05,0.00012278019507523154,8.921115403976313e-05
ygcU,ygcU,0.0017821430936461305,30,0.0002854583575327814,0.00011136324228161636,0.00027165503724812547,0.00012906523207382572,4.247535256315293e-05,0.00016789058392310685,6.721312699327559e-05,0.00041739355335236047,0.0002752984786781369,1.4330128999748651e-05
pinQ,pinQ,0.0017737282075228154,31,0.0001278669552788037,0.00013434182650362594,0.00018752001286059596,0.000245609867355069,0.00047813361035080635,0.00023276558923494674,0.00011480339479787548,9.083606844619767e-05,1.2827934683141063e-05,0.00014902294801175366
insF-4,insF-4,0.0017667957896003045,32,0.0004206237561065302,0.0004978810079711789,0.0003734199783667358,8.174927486117568e-05,0.00012750122560627872,8.954136571046169e-05,7.477423232334356e-05,6.66159551957896e-05,3.463452452858733e-05,5.446893022283748e-08
yfjO,yfjO,0.0017634444604059177,33,0.00030609730894529634,0.0002659427703809407,7.275427282628285e-05,0.0003021649929614683,3.8593653104091914e-05,0.00022367288982621126,0.00024775263743191114,0.00011850033729479643,7.46848909463252e-05,0.00011328070668859377
idnO,idnO,0.00174574895389081,34,0.0002941167466314474,7.035916409484548e-05,0.00018320280411116016,6.219224431169206e-05,0.0002666872775077049,0.00010896868030982981,0.00033434583325745804,0.00010251010250757969,0.00013291724204730142,0.00019044885911179092
torY,torY,0.001681616552952454,35,0.0003900117238070678,0.0004928291708192247,0.0001569315982315847,8.343719624336467e-06,1.1450780616667361e-05,4.133674090782787e-05,0.0002947939908300445,0.00012284633908833098,0.00010088764179039672,6.218484723697292e-05
artM,artM,0.0016663821085217165,36,0.0003047111481180028,8.238760690080459e-05,9.909331691975024e-05,4.3552785636382473e-05,0.00015448415532833026,2.9024851075048057e-05,0.00021690147141704478,0.0003398799639382255,0.00012715298788749824,0.0002691938213006295
pphB,pphB,0.001659905701564366,37,0.00031023106938325143,0.00022666466229654693,1.601337360750437e-05,0.0005160371456137497,0.0002328910246872347,0.00012264823738154687,0.00010367085503587362,5.4634492342232344e-05,5.8163568566057705e-05,1.895127265036827e-05
ycjW,ycjW,0.001652014354338117,38,0.0003930353788488658,0.00021197623819638572,9.128176125319997e-05,0.0004966745095577017,0.0001894098540257482,9.496811229643711e-05,8.365291455391833e-05,2.7334800405974517e-05,5.1176343283083565e-05,1.250444191680191e-05
yedL,yedL,0.001631553645929778,39,0.00045084717792584776,0.0002306124107320696,4.63535199620124e-05,6.176755799191471e-05,0.00016692587443901935,0.00027983633089415636,0.00014163471273395705,0.00017722135003467264,3.5498940136768136e-05,4.085577107936019e-05
ydbK,ydbK,0.0016310386239187721,40,0.0002845155236655501,6.902389589465865e-05,0.00023526900972591384,0.00016415345528176346,5.227230012741606e-05,0.0004248098625956397,0.00019319005706255725,0.00011645656758595738,2.1614990494090752e-05,6.973296148522492e-05
yfeT,yfeT,0.001630392362892736,41,0.000212413947934204,0.00013828602192771417,0.0002565098206416753,0.00022607869719897748,0.0004928741864394364,0.00019651841258051976,1.2834635431664207e-05,9.391021518087991e-06,1.0928073752133326e-05,7.455754546832314e-05
yojI,yojI,0.0016140322008128954,42,0.00031322294061403706,0.000481525809077537,0.00019147108540227759,0.00016124499775710494,6.140262660165246e-05,0.00020104365300342586,8.6209468901579e-05,8.947497049495986e-05,1.103204124973803e-05,1.740460771058394e-05
yjhR,yjhR,0.0016115800027256641,43,0.0001379796086049447,3.149184904851718e-05,0.00021292740851849476,0.00019957471692127205,7.41376916435522e-05,0.0004578813124582005,0.00028487109242799523,1.0975137609256483e-05,0.00018893791883732697,1.2803266656104162e-05
metF,metF,0.0015893590666062145,44,0.00030526835242771806,0.00020819550288616497,1.9211796428379727e-05,0.0004917547032497005,0.0002086387071448569,0.00011945054984858684,0.00010781824963907421,5.90132093122247e-05,4.9708905764245026e-05,2.0299089905263606e-05
yfdE,yfdE,0.0015765123637412266,45,0.00026533984493506323,2.998880923867598e-06,0.00019612282953142268,0.00018112941609240915,7.038103050811726e-05,7.42149020247062e-05,0.0003611963786680108,0.0001749128194540832,4.384456214041465e-05,0.00020637169946313176
