gene,gene_clean,score,rank,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
tmRNA,tmRNA,0.0025152926845650146,1,0.0014923676149530532,7.503591589573915e-05,9.377332759834027e-05,5.466406948125849e-05,9.773972171977953e-05,7.333191069596466e-05,7.786734307871738e-05,7.737810316746957e-05,0.0001921627869071098,0.0002809718910675822
rpsR,rpsR,0.002488017316713018,2,8.397725032024982e-06,0.0009116104577318913,0.00011558488268298371,0.0007763335155928178,0.00016737549294754012,6.650425300736018e-05,0.00019807622949800398,3.5340938251358684e-05,0.00016119440625700417,4.759941571203356e-05
betA,betA,0.0024192402805238954,3,0.00018927220771948198,0.0008103317069601698,0.00010141274774602044,0.00033877289893364685,0.0002069168749937947,0.0001169864559673071,0.00033843047654556063,1.7523920619478015e-05,0.0002499545190893947,4.963847194904079e-05
yjhI,yjhI,0.0023424150699024814,4,0.00022973626724281032,0.0007430497527528267,5.855155732809737e-05,0.00036345090669095666,9.461994836610365e-05,4.019994097082463e-05,0.00021551630487872894,0.00031388095225364366,0.00016555283923767457,0.00011785660018081475
yahC,yahC,0.0023366230629209505,5,0.00014331742579133325,0.000804630740238626,9.847158281962252e-05,0.0005928287738083219,0.00010212406376005194,8.756081322041457e-05,0.00018373920451870095,5.718481167247679e-05,0.00018988673086587664,7.68789162255257e-05
yhgF,yhgF,0.002265886282120098,6,7.133878249956617e-05,0.0001629589779833382,7.670308086062667e-05,0.00018983475328782697,0.0006521814734839012,0.0002319820673203294,0.0006164812863427337,5.4072868624794495e-05,1.618411893409005e-05,0.000194148872782891
yhfY,yhfY,0.0021624184173956976,7,1.5915304041079584e-05,0.0008625437601233855,0.00012313801714577223,0.0006555984058741628,0.0001235236106064277,6.572980820416145e-05,0.00015995295157839444,9.379200651855418e-05,5.8363064838865454e-05,3.861488464894246e-06
hemB,hemB,0.002120331532310164,8,0.00011502389889322426,0.0008349959972096515,8.677892605319341e-05,0.0006318512622413274,0.00014369973198574516,2.624430177535028e-05,0.0001287288765763374,3.993626621921119e-05,0.0001066034753032687,6.468796052854623e-06
yjhU,yjhU,0.0021104047181720815,9,1.4851834056896216e-05,0.000795863361571582,6.033612065191198e-05,0.0005752305183795093,0.00017438556506914641,7.856265515611779e-05,0.00017689054856214923,2.0892588485088597e-05,0.0001511425445178055,6.22489817218742e-05
aslB,aslB,0.0021075942431642587,10,1.0524809108867042e-05,0.00026967646272397236,3.45070248121109e-05,4.39726604537352e-05,0.00018410255512100708,0.00015724038301491113,0.0003519743334304128,0.0005227720578561685,0.00030656092914141343,0.00022626302750166003
nadD,nadD,0.002067460268288877,11,0.0001045512914897262,0.0007520327766100812,7.155640348868092e-05,0.0005965925633414712,0.0001474053876313023,5.263603546464627e-05,0.0001080971315533077,5.253164482723296e-06,0.0001701077234345201,5.9227790792417925e-05
