gene,gene_clean,signed_score,abs_score,signed_score_rawsign,rank_positive,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
fimD,fimD,0.0013021404041206849,0.001837650946858814,-0.0008330056109124679,1,0.0003293063084489724,0.000771650958881526,-5.4066856295983793e-05,5.5755575223565283e-05,-0.00011439854433077751,0.00011870372740624306,5.300780771668081e-06,0.00021545183597587738,-9.92898707423034e-05,7.372648878189744e-05
yaiL,yaiL,0.0012675565061594095,0.001707716710948562,-0.0007499299735492586,2,0.0002792653060752735,0.0007441516440847337,-4.104656281472564e-05,0.00010502325253463634,-9.79575083117347e-05,0.00010353602635404832,2.359179485589112e-05,0.00011351655329314042,-8.107603126811564e-05,0.00011855203135626249
yidA,yidA,0.0010034653572837454,0.001975695019977675,-0.0008433382116896475,3,0.000156262978595582,0.0006372084980498964,7.725432205625239e-06,0.0004774794611799301,-0.00012910545051858833,-0.00015126020031514637,0.00015696254844123006,-0.0002057491805132301,8.760657644016365e-06,4.518061251443005e-05
yjeF,yjeF,0.000989211122272931,0.0013421150990958535,-0.0005515184578974703,4,0.00024479180616710357,0.00045977802578758885,-0.00010472332696062645,-3.878899311092151e-05,-2.5901718402419e-07,9.923534648100402e-05,-3.268065115588909e-05,0.0002683848253912999,1.4436236692118576e-05,7.903687016527734e-05
tbpA,tbpA,0.0009681531048908744,0.0016864524284390153,-0.0005848349250003636,5,0.0002716429330102367,0.0006669213125718331,-5.682406344799977e-06,0.00011668904494788356,-0.00016998682443350604,9.812911767639735e-05,7.823497074526934e-05,-8.683546880408014e-05,-9.664496219168419e-05,9.568538771332476e-05
fes,fes,0.000955560740083316,0.0012471260608287063,1.5096095799325e-06,6,0.00012548610148229735,-0.00014105160975356668,0.0003355079869063581,4.9879069186676565e-05,1.5820001355063357e-05,0.00014082192556433873,0.00028568253616360683,-4.73105061912843e-06,0.00014642469470976474,1.7210850879054917e-06
ybbL,ybbL,0.0009434861977677768,0.0012643852865011664,0.00021384375522248743,7,0.00013149093679628573,0.0003530636243069371,0.00020438960451153387,4.326538371851712e-05,0.0001735633050390419,2.925280091257509e-05,9.968895670131016e-05,-4.540360529424993e-05,-0.00011504593907244493,6.922113014827056e-05
norV,norV,0.000924847902384019,0.0011562244685678913,5.212029755731129e-05,8,0.00012201886453118092,-0.00011568828309193628,0.00029805012132675155,4.412431611344728e-05,4.263058447518493e-05,0.00014952099267967093,0.00021712173490501358,2.809294780962228e-05,0.00011319209399753597,2.578452963754761e-05
hipB,hipB,0.0008906959648277068,0.0015966337956452486,-0.000596938918755092,9,0.00029725659502277544,0.0005493919811170308,-6.684766691691157e-05,0.00013425788919030639,-0.00015416393848747978,7.041977191703431e-05,0.00012170510957140735,-1.497527319905668e-05,-0.00011698203680532284,7.063353341792336e-05
yccS,yccS,0.0008769329056067734,0.0014131774853570864,2.6096294648483498e-05,10,0.00019880383757788143,-0.0001396631507088355,0.0002827097300452045,-2.689690975283508e-05,7.15632619180282e-05,6.947335633150459e-05,0.00016670692567959832,2.9535361485073816e-05,0.0003262627224446389,-0.00010156222941348573
ybfQ,ybfQ,0.0008606131638616472,0.0010973618396789577,-0.0002836263215195633,11,0.00019046168264713606,0.00029678757987900307,-2.8534894880652248e-05,-8.983944302800301e-05,1.91315901453907e-05,6.816478421931857e-05,4.77022947131733e-05,0.00020114880613698706,4.815572077012623e-05,0.0001074350432591674
citC,citC,0.000856512052566337,0.001487880956808119,-0.0007413077479745822,12,0.00017723512399108176,0.0006013773253619251,-1.45790566252515e-05,0.0001536534933479923,-0.00017971107257783598,8.790740251424253e-05,7.736600196410326e-05,-5.2258242631354177e-05,-6.913608028644944e-05,7.465715750788323e-05
phoE,phoE,0.0008452704379331442,0.0016282960858187462,-0.00014374382509025303,13,0.0002657250223028265,-0.00019079779099034084,0.00024412863052893934,0.00019232341619369105,-0.00014781397741430867,0.00030484688798298207,0.0001785467130403803,-4.162468654213994e-05,5.1212591827125966e-05,-1.127636899601154e-05
ycgN,ycgN,0.0008380437067834779,0.0013788145986324215,-0.00020426906355027703,14,0.0002571721635736884,0.0005513287094891891,1.4320534365579636e-05,5.394824128044309e-05,-9.935256125107508e-05,3.631257153987029e-05,5.059974753077187e-05,-3.8525684403758995e-05,-0.0001325072002696379,0.0001447471849284075
aspA,aspA,0.0008303027038023077,0.00136469217426063,-0.00024185467333149468,15,0.00021932483549924665,0.00026220219555244604,2.0066984245653438e-05,-0.0001052834765968605,0.00015053297035298282,7.02906315751176e-05,-6.621048376982425e-05,0.00011299583786931223,0.0002620839839367101,-9.570077486247638e-05
emtA,emtA,0.0008276592113232825,0.001095992463748176,6.269253576945017e-05,16,0.0001405147212028492,-0.00012905727984096615,0.0002930598734581771,2.9387537637220908e-05,6.654341705325413e-06,0.00010847865699840684,0.00025983025279669385,-5.10934637148062e-06,0.00011895351655704135,4.946937180014606e-06
