gene,gene_clean,signed_score,abs_score,signed_score_rawsign,rank_positive,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
yphD,yphD,0.002821469793323386,0.003046757735070409,0.00029357057419357555,1,0.0008686847691371574,0.0005869260803171119,0.0002924609321544163,0.00014477815762175465,-3.6191438697110106e-05,0.0006890040441584855,8.787468509758117e-05,-7.645253217640118e-05,0.00017389791432735914,9.048718138303163e-05
wcaL,wcaL,0.0026526730607968883,0.0027386931326191318,0.0008059907631012754,2,0.0006305405407131664,0.0010380907284181402,0.0007521341967315844,-2.620864241805731e-05,6.539019667708472e-05,8.477551092286404e-05,1.6279736728860726e-05,-1.6801393493064427e-05,4.724988693433083e-05,6.122229958197921e-05
fucI,fucI,0.002614543206530071,0.0027045876032315004,0.0009851764996526586,3,0.0006685479734405909,0.0010377713526172308,0.000725993324241449,-4.1513975958030355e-05,1.1430808088614458e-06,8.377423398607734e-05,-3.5082223926842278e-06,1.4691164912044729e-05,4.5286690360348525e-05,8.235758451418252e-05
yfaT,yfaT,0.0026125436771985092,0.0026252120118849627,0.000826024340272507,4,0.0006518347660254897,0.0010074199254995458,0.000671045763630436,1.8647604736774925e-06,0.00013001935856123034,5.3246726733110144e-05,1.220236524934053e-05,-6.334167343226805e-06,3.708305906454703e-05,5.4161119304359135e-05
yeeV,yeeV,0.0024213715327234212,0.0025760932200299914,0.0007645378776897438,5,0.000575988876202652,0.0009980166729038303,0.0007144185295027634,-2.123238415115847e-05,1.565114121242349e-05,6.499426988797511e-05,-1.0235851673157362e-05,-4.589260782896935e-05,5.458527106483532e-05,7.507761560222691e-05
kefA,kefA,0.0019356607111423523,0.0020566198237380036,5.16308744542336e-05,6,0.0004113648118650458,0.0004801224843157024,0.0003075381251566465,0.00015652614363368682,-3.173927490285398e-05,0.0002623889653343715,0.00010124817693576616,-2.8740281394971807e-05,0.00024730095912220846,2.96506010767504e-05
yahC,yahC,0.0018250848564512281,0.001937433871051175,0.0007603501495168504,7,0.000469509795321579,0.0006231780948515874,0.00039795501545587976,8.308631027405765e-05,-2.66152111076685e-06,5.7060136718144e-05,-5.044039831908082e-05,8.962957917671507e-05,-3.0725878701257766e-06,0.00016084043195323873
znuA,znuA,0.0016544547807391837,0.0017276779837514268,0.00046551994437661983,8,0.00034067111857048754,0.000657201520252042,0.00046965096234524424,2.5005965998975644e-05,3.79584654435967e-05,7.830840089794534e-05,1.2570997120823404e-05,-2.015522500164163e-05,-1.6456376504479926e-05,6.969895161619053e-05
yhcO,yhcO,0.001585316482864886,0.0017500167306612577,0.0007942465080448601,9,0.0005520055353206531,0.0005901966499103537,0.0003580818698207183,-2.7952933890475317e-05,-2.60518563702405e-05,2.749989469373601e-05,-2.8345333637470035e-05,2.6956375960527285e-05,6.395801315627441e-05,4.8968267900808785e-05
yjcC,yjcC,0.001452562051261611,0.0015259092009644827,0.0004874039588453875,10,0.0003565390512012579,0.0006197912206334642,0.00040128997902736513,2.2345753595594138e-05,2.4083775303507243e-06,4.2990690541972596e-05,-2.825720113959527e-05,-8.416373711840515e-06,1.3544245512829193e-05,3.0326308070212905e-05
lpp,lpp,0.0014122311345544493,0.0014943614460947786,0.00032959896385842245,11,0.00029202018723212725,0.0005985389148081164,0.00039137013510366745,1.7978375595463903e-05,3.201413807845059e-05,1.7937266716571573e-05,2.142110293635687e-05,-2.7914712875919547e-05,8.201616985385991e-05,-1.3150442894245077e-05
ymfI,ymfI,0.0013949774886474941,0.0018244807066209042,0.0011047777676504512,12,0.0005673399787712039,0.0006360085416630848,0.00031001960334881283,-3.439943636709422e-05,-5.216235872708325e-05,2.050953971767091e-05,2.260113963211948e-05,5.3250294501307184e-05,-9.886748747378484e-05,-2.9322326418742857e-05
bssR,bssR,0.0013783826344123703,0.0014130495618002352,0.00031639036974722833,13,0.00028710422847756694,0.00048372787835206023,0.000310450959390434,6.593166774754286e-05,6.757198370662876e-05,3.263748181908972e-05,1.18416314234479e-05,-1.73334636939324e-05,5.440403966887581e-05,8.204622752065681e-05
secF,secF,0.0013476959837298217,0.001375426125419886,0.0001659503306520864,14,0.0001852674183932129,0.00046981626005859664,0.00034417055619079164,8.493267930839676e-05,4.308188400271905e-05,2.7429479191836433e-05,-1.386507084503205e-05,5.3535523761713906e-05,9.125822784512398e-05,6.206902582246283e-05
ygjG,ygjG,0.0013436312914111915,0.0015862578217738937,0.0008529766212803738,15,0.0004368444629157763,0.00025928292769822163,0.0003281596119390477,1.4923940109153526e-05,-6.755498570490738e-05,2.3557048198558915e-05,7.243501401592523e-05,0.000224919159152322,-5.375827947644378e-05,0.00010482239256353748
yegT,yegT,0.0013376231593591693,0.0026213149512396353,0.0004628427999895924,16,0.00035190603180445775,0.00015079853768501178,4.132067825614187e-05,-0.000186805970411876,0.00015289917961317008,1.1499114196320249e-06,0.00028555039095146334,0.000567017944761805,0.00042882638080772047,-0.000455039925528357
yfbK,yfbK,0.0013191205078120455,0.0016890200489763146,0.0006978831485606916,17,0.0004433014925075168,0.0006009461794481283,0.0003806289523891371,-2.179877312904032e-05,-4.111512118741217e-05,-2.6430411151912937e-05,-7.019346480679473e-05,-2.5412000306974555e-05,1.9334032704905134e-05,5.985962134449262e-05
ligB,ligB,0.00130883708565964,0.0015308727110625244,0.0009129442325066897,18,0.00032426917834679645,0.00043714070322905624,0.00021531374307647466,2.0064138404210056e-06,-2.8753405753998174e-05,-6.935506784098826e-05,0.00014318488468735127,-1.2909339106455745e-05,7.873474325456585e-05,0.00021920523192641678
