gene,gene_clean,signed_score,abs_score,signed_score_rawsign,rank_positive,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
ydfR,ydfR,0.0010790406939624765,0.0012051995295132535,-0.0003083721058102836,1,0.00013427286488860868,5.0922757350607925e-05,0.00028860810999489046,0.0003694636645985018,7.927990559504201e-05,1.943413747333432e-05,-6.307941777538843e-05,3.8849147927444525e-05,9.19458586310956e-06,0.00015209493804632586
yffQ,yffQ,0.001064936186749282,0.0011945390797012277,0.00017117281852732733,2,0.00017208319437681918,0.000273080070205115,0.00015609539144775645,0.00019670179362307383,6.02236945600539e-05,6.440212745985891e-05,-3.054132297976564e-05,7.175167409594678e-05,-3.4260123496207076e-05,0.00013539968745663095
yccZ,yccZ,0.000976543438976856,0.0011293292098725166,-0.00027060129427656013,3,0.00013540071160031625,4.349182104283104e-05,0.0002633881385112085,0.00034310609141424594,7.46271249302263e-05,1.5204937795978741e-05,-7.275392602495149e-05,2.6578082788316304e-05,-3.638959422878776e-06,0.00015113941634156314
phnB,phnB,0.0009208680338759712,0.0010261334000080395,0.0006143311601542828,4,0.00026504540892980494,0.0004718928882681038,6.038082562807411e-05,0.00012375753197256637,9.474441550435434e-06,-1.25391082614277e-05,-2.7805254028803983e-05,9.589316239036023e-06,-1.228832077580253e-05,3.336030435398475e-05
yihF,yihF,0.00091406175447699,0.001073952910072366,-0.0002388865651985391,5,0.00012913727051110208,4.926595920317937e-05,0.00024983333491185295,0.00031706510693285043,7.757385189154846e-05,-6.721310756027522e-06,-6.127682314245983e-05,2.438484995172313e-05,-1.1947443899200635e-05,0.0001467469588724215
yrfD,yrfD,0.0007502187719970352,0.0009718393802570735,-0.00020682207257274329,6,0.00011117439371217537,3.1582394498655426e-05,0.00021654400960930187,0.00028123679619025427,7.904569643649894e-05,-1.692160367702911e-05,-8.138447627413679e-05,2.3493885431706274e-05,-1.2504224178853292e-05,0.00011795190024846219
yagK,yagK,0.0007275672205669987,0.0008478485559458253,-0.0001458979669266556,7,0.00010320437041624693,4.655164001765712e-05,0.00018701289048299248,0.00023790970790057143,4.60032935513579e-05,2.5947369501318703e-05,-6.014066768941327e-05,1.4301877839668658e-05,6.798464452526363e-06,0.00011997827409407252
ycgG,ycgG,0.0007199434389465196,0.0008156251499391717,-0.0002629117157505068,8,0.00010868567429682064,1.8183023913956788e-05,0.0002079361395821682,0.00023728386011706302,7.80965769948945e-05,5.6234938370830186e-06,-3.7512493182695626e-05,-6.387538206196658e-06,-3.9408241074338155e-06,0.00011197552570085937
ybfC,ybfC,0.0006522868666387954,0.0008996750559396177,0.0008514736467080159,9,0.00018627172725333118,0.0005869644580114324,-5.5440470512953094e-05,-2.0641927861707194e-05,-1.797235467448719e-05,2.7447760244429464e-06,-8.28341300990568e-06,-6.281887721758274e-06,-4.724323421581828e-07,-1.4601608527441434e-05
ilvL,ilvL,0.0006136991107716382,0.0006933007927164091,-0.00015201648205745113,10,8.222877399592288e-05,1.8849195937290632e-05,0.00016518416852457165,0.00020759641268185212,2.764603138945151e-05,2.223202479105477e-05,-3.980084097238543e-05,2.1382152594547447e-05,1.423861845054624e-05,9.414257337878635e-05
yadN,yadN,0.0006009250345656553,0.000945420897751441,-0.00017070882139507345,11,4.48970202097769e-05,-1.0956424910989693e-05,-3.2052726618682785e-06,-4.6060460227191544e-05,7.809720706014997e-05,0.0002501603082851092,0.00010682514552416502,0.00018197964703920406,-0.00011202577379284332,0.00011121363804014297
yjjZ,yjjZ,0.0005697544330400115,0.0008636953964072272,-0.00013064490837541202,12,0.0001189066678130146,2.7729890698711023e-05,0.00038009050117975766,-6.76170283508757e-05,8.945790740709749e-06,6.832170810053869e-05,-3.954130096241863e-05,-3.981215237031349e-05,3.534599485309259e-05,7.738436133779506e-05
frc,frc,0.0005695068433981969,0.0012584034266771096,-0.0003273229477084857,13,7.582400719777875e-05,-2.2524331667533745e-05,-7.639150987450417e-05,-6.825215116932911e-05,0.00014799917544071515,0.0003018806087454352,0.00014317877241102418,0.0001664295036972685,-0.00017728029892808943,7.864306754543151e-05
ttdA,ttdA,0.0005633652380785427,0.000836368777650834,-0.0001608812974493833,14,3.43965444664884e-05,-8.922607882617056e-06,-1.6437807655094156e-06,-3.354839015993717e-05,6.58586474058193e-05,0.00023320054039412347,9.825625088946681e-05,0.0001633986962813204,-9.238699097808202e-05,0.00010475632842746996
ade,ade,0.0005242953900352047,0.0008302120615045107,0.0007197442859122157,15,0.00017074575455807643,0.0004994982865076839,-5.615153978681001e-05,-7.740413407373408e-06,7.009684704097377e-06,-2.438359880812653e-05,-1.6458580640292785e-05,-1.9736168422550844e-05,-2.0158956618936716e-05,-8.329078050562628e-06
cobT,cobT,0.0005165139949861882,0.0005865214964864522,-0.00012427234034733943,16,0.00011282670945600548,2.826341262944611e-06,0.00014848220041259905,0.00017537910513003833,3.15356128742584e-05,-2.0965041056970163e-06,-3.290724664443495e-05,3.360301666730218e-05,1.0587503298894988e-06,4.580600960328265e-05
ybgS,ybgS,0.0005159324612951532,0.0005887659355380561,-0.00031349943084404275,17,0.00012004403970981822,-2.797125118139528e-06,0.00022741502717961372,9.123916857635372e-05,8.472868145033109e-05,1.7883191952004098e-05,-6.55012308870467e-06,9.36001980224462e-06,1.6790697462390978e-06,-2.7069488914607216e-05
sbcD,sbcD,0.0005111407356063239,0.0005309342253837179,5.0359629884234964e-05,18,7.480227274467903e-05,0.0001372173311409652,8.029270993687953e-05,0.00010457863187539585,3.782066174649872e-05,1.2614821048711644e-05,-4.916271746441282e-06,2.9072251173239707e-05,-4.9804731422557415e-06,4.463880082865122e-05
ygcQ,ygcQ,0.0005057327123056654,0.0005819979181717505,-0.00015303483312887218,19,3.398135104852477e-05,2.7150671529919768e-05,0.00013936294992339266,0.00017285407526208043,4.355111090951364e-05,1.174823955532464e-05,-3.813260293304261e-05,3.326421702556383e-05,1.658785412527677e-05,6.536484585911144e-05
paaA,paaA,0.0005030249951583785,0.0008581545023881102,-0.00011669434535002212,20,3.911781131914758e-05,-1.0373723711535828e-05,-1.1416254499681677e-05,-4.2193004973469737e-05,6.791013167714432e-05,0.00021606903371613556,7.948976433407189e-05,0.00017411203102775814,-0.00011358177043017859,0.00010389097669898696
yeiJ,yeiJ,0.0004953315025315612,0.0006947457271862972,0.0006562178073069133,21,0.00013627107024503362,0.000448400498791192,-4.168207171113213e-05,-2.7008155556358755e-05,-6.092476010894814e-06,-3.1738634298596313e-06,-2.4865856794307555e-06,1.0367045822703565e-05,-1.3937170877220736e-05,-5.326789062471246e-06
ybbN,ybbN,0.00048337670877656596,0.0006105730394725141,8.185184193586483e-05,22,0.0001097326691948879,-9.149583840946075e-06,8.428291630948055e-05,0.0001168654220722099,2.4998002613351298e-05,-5.4448581507028e-05,2.906467393233681e-05,2.7739869557902344e-05,4.3613516197359526e-05,0.0001106778042470117
treC,treC,0.0004621739616759863,0.0011088764019990807,0.0006074318418262339,23,7.908360220994993e-06,1.0412075478236403e-06,2.579185270784821e-05,-8.030728089241029e-05,0.00013519965125824383,-0.0001740384930462912,2.0725329897485715e-05,0.0003444302897069925,0.00025042849049814467,-6.900544622284567e-05
yiaH,yiaH,0.0004469691141243623,0.0005248776515359726,-0.0001599540957396131,24,5.8343948733421137e-05,3.448556235715496e-05,0.00012096693515235038,0.00017570001838881615,2.6158251946160372e-05,-1.9861428431292147e-05,4.978278759529472e-07,-2.781882377529604e-06,-1.6310957896983408e-05,6.977083837631152e-05
lsrD,lsrD,0.00044246071021745536,0.0007032717312575592,-0.00013191873875129133,25,2.3695604394383502e-05,1.8546551640127559e-06,-1.2246553580962447e-06,-4.683552767580464e-05,5.9940341726448075e-05,0.00019366144191579516,8.164812387603102e-05,0.00013488505934025478,-8.2345327486151e-05,7.718099432058198e-05
dtd,dtd,0.00043941282923861725,0.0005170593830841012,-0.00012535296875764782,26,6.150213255599294e-05,2.741627414989128e-05,0.00013118747897792354,0.00013819872925694766,3.244049271803024e-05,1.9379474967973103e-05,-3.882327692274198e-05,2.942106766206311e-06,2.917994347005899e-06,6.22514224213883e-05
galR,galR,0.0004389935990871324,0.0007180161178633038,-5.797185580926543e-05,27,4.307381907319568e-05,-1.695496196463215e-05,-8.826646544967128e-06,-2.9003902256882556e-05,6.19301450637393e-05,0.00013760595248167617,8.677717870463314e-05,0.00013785433233290005,-8.472574862160383e-05,0.00011126343081907374
arnT,arnT,0.0004388496976923572,0.0007306418563398763,-0.00016830846442721944,28,3.285236740553358e-05,-9.485513636389741e-06,-6.671044176699253e-06,-3.665603808295789e-05,6.33687568119725e-05,0.00020178783429440625,8.17495722130667e-05,0.00011996441625376376,-9.308348342771266e-05,8.502283003737394e-05
