gene,gene_clean,signed_score,abs_score,signed_score_rawsign,rank_positive,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
pyrI,pyrI,0.0015165570893427515,0.0019466194408320084,-0.0006343210522950749,1,0.0003045085149129795,-0.0001271401303448341,0.0007365536189196581,0.0004592000823418097,-2.5975596434411338e-05,6.351788888609796e-05,0.00012586550236704536,3.404912504334955e-05,-6.191544896538301e-05,7.893532616439988e-06
yigZ,yigZ,0.001424250525276397,0.001480227405280746,-0.00048735188688778816,2,0.00018329386235662638,-4.412466711005415e-07,-2.7547193331073954e-05,6.994459109665194e-05,0.00021506704946553005,0.0002511393877369701,0.00011913235057854507,0.00021654099054053334,0.0002136830548715921,0.0001834376786321223
yedN,yedN,0.0012405436745479871,0.0013303897901073905,-0.0012400439662914363,3,3.530397344826507e-05,0.001072180097719764,6.250422621721229e-05,-6.995859474826225e-07,9.06065023431192e-06,-9.741271245068773e-06,0.00010641778470813553,-9.822448649715583e-06,-1.6548541778880932e-05,-8.11121015855379e-06
pyrB,pyrB,0.0011994312091020767,0.0015943778383399414,-0.0005039833266161583,4,0.00015672679005844552,-0.00010744450573647601,0.0006593826586291716,0.0003703616423681882,3.82623634890173e-05,1.842989514711524e-05,0.00014112348778380792,1.2617686245263304e-05,-2.9128744268210074e-05,-6.09000646142463e-05
yjgF,yjgF,0.0011114304857773767,0.0014873841812993842,-0.0002451509179974571,5,0.00011620570464046935,-0.0001096590067418803,0.0005367041469905835,0.0003667973819438176,2.0945081839768045e-06,8.80541933262432e-05,8.755869387136724e-05,3.7744810819757354e-05,-7.831784101912338e-05,6.42478937621654e-05
ybiR,ybiR,0.0011092553045285642,0.0012421966806372082,-0.0005074834922537469,6,7.190893942114185e-05,-1.965847072266621e-05,-1.3285089134140252e-05,-3.352712819751545e-05,0.0002498011866375335,0.0001555149072944615,0.00012817445831027569,0.000306153597130812,0.00017956105609127096,8.461184769739068e-05
ychQ,ychQ,0.0010677299874043023,0.0012654203255824225,-0.0004730160795119289,7,0.00010299077649332621,-1.3804143839645073e-05,-5.929415669771857e-05,-2.5746868551696294e-05,0.0001899218145605388,0.0002226097753042104,0.00011130502635212257,0.00024169458400708405,0.0001648711718387361,0.00013318200793734428
ybhK,ybhK,0.0010157406413868516,0.0012319799984605053,-0.000837396920148237,8,0.00011878600681143565,0.0007762511127426656,2.362174088542658e-05,5.9103100683279185e-05,4.321013932515563e-05,6.326073475854834e-05,3.9627484717167444e-05,-6.056601084316481e-05,-3.441228830453446e-05,-1.3141379389127436e-05
rlmB,rlmB,0.0010069990906737612,0.0011682791118497388,-0.0008096598518132131,9,7.955667353418282e-05,0.0005254011235186278,-5.910385554881563e-05,-2.153615503917315e-05,0.00011783528154328475,2.914472729110932e-05,4.1347806361486774e-05,0.00015848183035518191,0.00013350116573171409,2.3704929261625155e-06
rffM,rffM,0.0010009792019582717,0.0012601241434932735,-0.0009660934257311772,10,0.0001516069480510553,0.0006244337696302719,9.503029788680193e-06,-5.7446118550134965e-05,-2.1074777434950467e-05,-5.1051574782415656e-05,8.21147400264307e-05,8.534894050454865e-05,8.158046062615335e-05,9.596378409863256e-05
yceF,yceF,0.0009929130067904593,0.0010512447520597107,-0.00025343770916148693,11,7.168480071690691e-05,-2.916587263462575e-05,7.647815178704859e-06,1.1310780406460033e-05,0.0002135764287178202,7.072129502043632e-05,5.935377698891606e-05,0.00028198043464080033,0.0001609531080648343,0.00014485043969020582
dhaM,dhaM,0.0009844092625666515,0.0011244544460051482,-0.0008268363224300275,12,9.66883537396945e-05,0.0006067003881488092,9.022292040444525e-06,4.4575090444616083e-05,-3.7274050883703494e-06,2.7813630575447706e-05,-3.128791926558711e-05,-3.500726736529103e-05,0.0002316933146248218,3.7938784712066155e-05
amtB,amtB,0.0009682159123927182,0.001141269537275051,-0.0009202270777867399,13,6.98840907147946e-05,0.0008312120208304089,6.046314558510358e-05,1.036278500746282e-05,2.6291441591286442e-05,-7.386700314540633e-05,1.8389624356091546e-05,2.3871038751737065e-05,1.4268577996999591e-05,-1.265980929576007e-05
yoeA,yoeA,0.0009457581187652424,0.0010738844582772187,-0.0007838837151043478,14,6.869366371719462e-05,0.0006641007082153947,-8.211776379119327e-06,-3.2968927088716695e-05,8.500045938614516e-05,-2.1832069040603082e-05,0.0001614056596791605,1.715127990316727e-06,-1.0503972475489796e-06,2.8905669533018954e-05
raiA,raiA,0.0009335412666320365,0.001380066197420528,-0.0003630017395096053,15,0.0002284340039983091,-3.0422175685576145e-05,-8.082145027024653e-05,-0.00011201883943842312,0.00023750889785971192,0.00012663186272711177,3.79311779091956e-05,0.00021394160946528834,0.00015257647492673872,0.00015977970513992678
gmr,gmr,0.0009053783085865812,0.0012879541546479479,-0.0005662971213662901,16,2.0009088218616614e-05,0.0004403464507695096,-4.201374625676538e-05,-9.379526676479326e-05,0.0001832577746555555,-5.547891000912463e-05,4.416450966134637e-05,0.00025572304034873284,7.308728224412026e-05,8.007808571938336e-05
galR,galR,0.0008868960209526658,0.0009851767957307774,-0.0003693614329409331,17,6.910615272150414e-05,4.4361529251049525e-05,-1.3182103678882703e-05,-3.5958283710173e-05,0.0002187710511290968,0.00013191621394366477,0.00016801036521573478,0.0001752170942068967,5.269947528683228e-05,7.595452658694263e-05
ppiC,ppiC,0.0008832499486474622,0.001165103611524445,-0.0009882986057616393,18,6.233360902164677e-05,0.0008931145350342313,6.764685486548773e-06,-2.7458762712534247e-05,3.557112063202397e-07,-1.1880911618053978e-05,6.160823933720673e-05,-2.0633711646907897e-05,-5.553216841012066e-05,-2.5421277050874693e-05
cutA,cutA,0.0008787782912403938,0.0011379630318884791,-0.0006593883116284146,19,0.00014862426838589923,3.0794960008601575e-05,0.0002161124729131667,0.00011215401349120899,-0.0001295923703240427,0.0001240570985573884,3.133478159167759e-05,3.652843527174747e-05,0.0001816312847059233,0.00012713334663882328
ygcF,ygcF,0.0008555368145087309,0.001004462039779417,-0.0007110543283223448,20,7.572851994748034e-05,0.0007508487690661099,-2.1167347671546384e-05,-6.892776710822307e-06,8.065989366557199e-05,1.0371691293564116e-05,-2.7896266245060404e-05,-1.69803481463574e-05,1.2390553171347868e-05,-1.5258738615565881e-06
ycdX,ycdX,0.0008194552346015131,0.0011090446966260821,-0.0006155566888041072,21,0.0001317138315504175,0.00041402693674189646,8.321140107934758e-05,9.818124196276986e-05,-5.344766069667733e-05,0.00017990086264675585,-6.443684137517724e-05,-8.872534262962828e-06,-1.8037694677467148e-05,5.7215691632610416e-05
ybaQ,ybaQ,0.0008193039259795263,0.0008327003490313479,-0.0002173026234127475,22,5.414333702889778e-05,6.269422223363115e-06,-6.698211525910772e-06,4.68820090420341e-05,0.0002376591392968137,8.631798438227412e-05,2.879343090701376e-06,0.0002509600990883225,0.00012443130040848876,1.6459502944541594e-05
pspA,pspA,0.0008162589102958445,0.0008808381604636101,-0.00020989011555486286,23,0.00010861724663541343,5.6024780307405724e-05,2.9270486149550635e-05,9.662931532926383e-05,2.911670310667179e-05,6.204022490926479e-05,4.234705764407972e-05,0.0002470643423635222,-3.2289625083882816e-05,0.00017743837893455518
aroE,aroE,0.0008022420003411829,0.00118405205593583,-0.00033246890818613333,24,0.00011475998275064058,1.1088291345111593e-05,-0.0001486681316855418,-4.223689611178175e-05,0.00017577027234182596,0.0002234574275942207,2.113656025601833e-06,0.00024914218010837417,0.00011546204812525107,0.00010135316984748055
pyrC,pyrC,0.0007972120251840665,0.001121366702916782,-0.0002947149661251963,25,0.000192638841284166,-6.362850651246535e-05,0.00037974514503361334,0.0002358992166353396,-3.264110836458651e-05,9.096049601027377e-05,1.2055243828349388e-05,-3.6584465131385326e-05,-2.9223258857920563e-05,4.7990421258681997e-05
rsmC,rsmC,0.000767506083442253,0.000876785600660982,-0.00043299531236314033,26,6.140395783011174e-05,0.0003952156540057901,-2.9232587499499445e-05,5.383017991711153e-05,0.00011092932700031919,-1.212608099061008e-05,-1.3281090119254988e-05,8.405407201418458e-05,0.00011421677266197477,2.4958786221256123e-06
ygjG,ygjG,0.0007353984574103195,0.0012353171148907847,-0.0009757852194892778,27,0.0004871925896849528,6.93728227768828e-05,-5.424668184147198e-05,-0.0001768526820933207,7.551926585928147e-05,3.323979748734818e-05,0.00013127050720194354,0.00016838106060524258,2.0381742534900757e-05,-1.8859964805439974e-05
ydiH,ydiH,0.0007137310934755278,0.0010341266966671285,-0.0007276668765894995,28,0.00015633256585254718,0.00014528222761309875,0.00019386591442701294,-1.2777093693371246e-05,-0.00010994049844149294,5.8944007790709935e-05,-3.7480209460936226e-05,1.7880607537896044e-05,0.0001858738712721851,0.00011574970057787831
ecnB,ecnB,0.0007093673369092002,0.0011856800638248503,-0.0007332806375251241,29,0.0003375085718831401,-1.66860772790264e-05,0.00015327624001121732,-0.00010806056953996343,0.00013311418469239946,9.6895094123215e-05,4.414998090728175e-05,0.00018257962874977158,-7.639945117843727e-05,-3.7010265460397865e-05
hemB,hemB,0.0006978559232921153,0.0009218491099545489,-0.0004403501256933714,30,5.731219705008866e-05,0.0003969258275909063,0.00013175334335781543,3.5534203022512446e-05,-1.762553688303022e-05,7.748271294211969e-05,-5.966266750089441e-05,-3.283235370625477e-05,-1.8760352410374388e-06,0.00011084423265988968
ydaL,ydaL,0.0006963735412538311,0.0007475127251936133,-0.0005248724787511824,31,6.2985589451031455e-06,0.00045080240957359345,5.425233061419194e-05,7.896056775587593e-05,8.943875510633727e-07,-2.3724445326770663e-05,9.220090958772626e-05,-1.8451466431204388e-06,3.263839325178303e-05,5.8955759443850086e-06
yobG,yobG,0.0006906683409480072,0.0008839338065744311,-0.00028735656131590245,32,4.07827670049106e-05,-3.4229310864526104e-05,-3.3798768258052895e-05,-2.8604653690632907e-05,0.00021189629810835676,0.00010916667124909794,5.078742825133085e-05,0.0002071710540258538,0.00014913260972334067,1.8364245398328562e-05
insO-2,insO-2,0.0006867924791744029,0.0014821233938401034,-0.0008745600749524644,33,0.00020401402534261475,0.0006963016882744811,7.474958219061004e-05,-1.4357093957166654e-05,-0.00010583871596560633,8.308062866580519e-05,-6.71834284556335e-05,-4.610325990082349e-05,-0.00016418295905362026,2.6312012033742073e-05
yrbD,yrbD,0.00068488454042386,0.0010314262982770307,-0.0005168503380731344,34,0.00010180104569512467,0.0006116484376717271,5.9893780225917346e-06,5.2007525386710346e-05,3.7434019973456226e-05,-2.3290507081209734e-05,-0.00011963440201739775,4.927501260083529e-05,-2.4921525643174092e-05,-5.424444184803721e-06
nlpE,nlpE,0.0006701072408761876,0.0007444175201417487,-0.00021431052195042754,35,0.0001304196783223921,-3.715513963278052e-05,9.358812945282713e-05,4.2030339840243656e-05,9.865366449361926e-05,9.464833589004084e-05,6.574782182180135e-05,5.7242547881869754e-05,3.7717507677156924e-05,8.721435512901713e-05
blc,blc,0.0006661194547722184,0.0009432600583783806,-0.0005401270858615032,36,0.00010161092716069055,3.5747380677796243e-06,-2.5818756324738633e-05,-6.01015067747705e-05,0.0001579245246338293,0.0001813828996875213,-1.7823205299870767e-05,0.00020738065327968296,0.0001528160137457958,-3.482683340370111e-05
creC,creC,0.0006621811404079205,0.0008768308002927157,-0.0008066924602297405,37,1.636745619922007e-05,0.0005817591892387275,7.885055754525484e-05,1.2985921387043638e-05,-6.488813350048987e-05,-1.7277373322011387e-05,-4.805875322432428e-06,6.664129702790089e-05,1.2901548952171154e-05,-2.035344779746378e-05
rcsD,rcsD,0.0006617610433600205,0.0007699072268397565,-0.00044517938632574085,38,6.899747248613625e-05,5.58429790471972e-05,0.00016591558903127066,9.895907525374452e-05,-5.4073091739868024e-05,9.425934204379828e-05,3.734911632002889e-05,3.0917142828976316e-05,0.00010018857308547308,6.340484500326337e-05
lepB,lepB,0.0006609819573298334,0.0007748197196236814,-0.0003857206423463322,39,0.00011930234490546017,-9.398909484925524e-06,-4.0442397303373215e-05,9.833551750875369e-05,-7.077574358625236e-06,0.0002375943112459321,1.4691975811356673e-05,4.906581045890399e-05,0.0001525381642047286,4.6372714341622146e-05
maeB,maeB,0.0006405484620590246,0.0008887690498167807,-0.0003513919932695549,40,0.00014960510104651016,-2.6007957716833485e-05,5.375959280647667e-05,-9.810233616204452e-05,8.33523720149677e-05,6.550267720757195e-05,0.00010291197069175976,8.405633376884586e-05,6.614250985995884e-05,0.00015932819854181168
yrdA,yrdA,0.0006403827303096437,0.0006403827303096437,-0.0002487527782484263,41,0.0002430415399393124,5.692452767147828e-06,1.4179217065193005e-05,4.352074251151883e-05,8.365300190072309e-05,5.39727724083007e-06,3.992114929842415e-06,4.487758454556711e-05,0.0001273875677911422,6.864123161836676e-05
hemH,hemH,0.0006356535363492579,0.0007999986915900755,-0.0007459369798432234,42,5.600779291776107e-05,0.00037263649497940433,2.61132637137346e-05,1.966721577979566e-05,-1.9417310288102802e-05,7.510400271692452e-05,6.061926711024861e-05,-7.363640093630401e-06,0.00010767807675179792,-5.539162723867557e-05
sufD,sufD,0.0006351542726174523,0.0007646968351394349,-0.00016311582843545077,43,0.00019284211249143406,-2.860062309659544e-05,-4.048548284940625e-06,-2.9171434932159863e-05,0.00017640067388529604,0.00010098113823847693,0.00010772034343034518,3.319130269502676e-05,-2.9506749472952717e-06,8.878998313786469e-05
flhA,flhA,0.0006334858225590862,0.0007677381528606701,-0.00013050050668471982,44,0.00012542367656831122,1.571220171849959e-05,-5.9249394027494716e-05,0.00012571192560313255,9.591794456489093e-05,3.256331352192836e-05,-7.87677112329726e-06,0.00022880833223483407,4.661180572912172e-05,2.9862787769159654e-05
ynaJ,ynaJ,0.0006330235400526345,0.0007543512374966566,-0.00024418596966194276,45,0.00011369880755807805,2.731349752080635e-05,8.215284609818198e-05,0.00012674963040786616,1.29252640539567e-05,9.923456311366126e-05,2.6829221759222374e-05,-6.066384872201103e-05,0.0001500396675293497,5.474389073352303e-05
sbcD,sbcD,0.0006298508748857393,0.0008211456449349187,-0.0005088055833234074,46,-1.56163754667571e-05,0.0005351128666279744,7.841127183036343e-05,-1.6408514133279838e-07,2.8587156589079085e-05,1.5378606645384173e-05,2.3932637942311858e-05,1.197614594179641e-05,-7.986692441649989e-05,3.209957433341968e-05
pgi,pgi,0.0006258826136539285,0.0006275460305291996,4.138937839472524e-05,47,0.00017322734054954587,4.921627850114275e-06,5.4076465607651605e-05,5.432315072867817e-05,0.00011212407994878355,-8.317084376355799e-07,2.0731661817075066e-05,3.734302324534163e-05,2.7782069975087324e-06,0.00016718876534686512
gshB,gshB,0.0006124381292796715,0.0006867288491898753,-0.00016073093715684346,48,0.000131310131912145,1.0806092460625565e-06,-3.71453599551019e-05,3.373383501034538e-05,1.740355768899815e-05,8.541972067397602e-05,8.154567927937318e-05,9.896167721311252e-05,2.541207484869009e-05,0.00017471620336207048
ygdR,ygdR,0.0006113596244800483,0.0010127821304234319,-0.0006832813833921275,49,7.708061324407217e-05,0.00046477237075632404,9.453323623075442e-05,2.623989799361918e-05,-2.5959690322144303e-05,4.039591417689634e-05,-4.210214249358109e-05,-9.640833302845195e-05,0.00010904884505007393,-3.624108712751449e-05
ybaT,ybaT,0.000606342955549431,0.0007241920497595026,-0.0004096012183262605,50,0.00024374134554418364,-5.120532076601486e-05,9.877553948909954e-05,1.6418267539860913e-05,5.494071400191779e-05,-7.719226339020932e-06,8.03441167117919e-05,4.753260368499669e-05,9.650302861280977e-05,2.7011887069806597e-05
uvrB,uvrB,0.0006036810413563617,0.0006196369086623739,-8.769818613137802e-05,51,8.367589012738711e-05,9.7990899471398e-06,2.077087714080088e-05,-7.977933653006124e-06,0.00019527323231575164,1.6293950780065947e-05,0.00011246797995717994,4.413138542797668e-05,5.855044036331949e-05,7.06961289497463e-05
hemD,hemD,0.0006032701112866306,0.000991897717499091,-0.0003388243044558769,52,-6.308874677321908e-05,-1.3210279282358327e-05,2.6429259931780375e-05,-0.00011801477705065276,0.00015727476805508936,0.00019367156400208627,5.1131377184779885e-05,0.00021049624407333287,6.561778873485173e-05,9.296291241094027e-05
