gene,gene_clean,signed_score,abs_score,signed_score_rawsign,rank_positive,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
cds-NP_308234.1,308234.1,0.0031852008506594543,0.00346815027527793,0.0026035028394037134,1,-1.130433652355721e-05,-7.052367489123062e-05,6.004827250503464e-05,0.0004210193814135514,0.0012510648780343827,-1.8750285249055376e-05,0.0005322595976636264,-4.08964156453949e-05,0.0007152276603240968,0.00034705577302800037
cds-NP_310571.2,310571.2,0.0024769214153260825,0.003460456511593853,0.0006658601558402142,2,0.0009646317506649629,-7.217096219250447e-05,0.0009804801006773473,0.001001102746477749,-0.0003936141900469837,-2.598239589439686e-05,1.205865017607005e-05,2.581241352086326e-06,5.184503232872492e-06,2.649970878879277e-06
cds-NP_311549.1,311549.1,0.002350700592779538,0.002550394844379911,0.002380404546165447,3,-5.64260718426144e-06,-1.8142057246201655e-05,1.0826509869641152e-06,7.935254192297059e-05,0.00023214197488323135,-1.4185832745262152e-05,0.00017934892516052598,-6.18766286244614e-05,0.0006228262759984687,0.0013357953496275637
cds-NP_310710.1,310710.1,0.002350700592779538,0.002550394844379911,0.002380404546165447,4,-5.64260718426144e-06,-1.8142057246201655e-05,1.0826509869641152e-06,7.935254192297059e-05,0.00023214197488323135,-1.4185832745262152e-05,0.00017934892516052598,-6.18766286244614e-05,0.0006228262759984687,0.0013357953496275637
cds-NP_310693.1,310693.1,0.002350700592779538,0.002550394844379911,0.002380404546165447,5,-5.64260718426144e-06,-1.8142057246201655e-05,1.0826509869641152e-06,7.935254192297059e-05,0.00023214197488323135,-1.4185832745262152e-05,0.00017934892516052598,-6.18766286244614e-05,0.0006228262759984687,0.0013357953496275637
cds-NP_311937.1,311937.1,0.002350700592779538,0.002550394844379911,0.002380404546165447,6,-5.64260718426144e-06,-1.8142057246201655e-05,1.0826509869641152e-06,7.935254192297059e-05,0.00023214197488323135,-1.4185832745262152e-05,0.00017934892516052598,-6.18766286244614e-05,0.0006228262759984687,0.0013357953496275637
cds-NP_311973.1,311973.1,0.002350700592779538,0.002550394844379911,0.002380404546165447,7,-5.64260718426144e-06,-1.8142057246201655e-05,1.0826509869641152e-06,7.935254192297059e-05,0.00023214197488323135,-1.4185832745262152e-05,0.00017934892516052598,-6.18766286244614e-05,0.0006228262759984687,0.0013357953496275637
cds-NP_309603.1,309603.1,0.002350700592779538,0.002550394844379911,0.002380404546165447,8,-5.64260718426144e-06,-1.8142057246201655e-05,1.0826509869641152e-06,7.935254192297059e-05,0.00023214197488323135,-1.4185832745262152e-05,0.00017934892516052598,-6.18766286244614e-05,0.0006228262759984687,0.0013357953496275637
cds-NP_311233.1,311233.1,0.002350700592779538,0.002550394844379911,0.002380404546165447,9,-5.64260718426144e-06,-1.8142057246201655e-05,1.0826509869641152e-06,7.935254192297059e-05,0.00023214197488323135,-1.4185832745262152e-05,0.00017934892516052598,-6.18766286244614e-05,0.0006228262759984687,0.0013357953496275637
cds-NP_309463.2,309463.2,0.002350700592779538,0.002550394844379911,0.002380404546165447,10,-5.64260718426144e-06,-1.8142057246201655e-05,1.0826509869641152e-06,7.935254192297059e-05,0.00023214197488323135,-1.4185832745262152e-05,0.00017934892516052598,-6.18766286244614e-05,0.0006228262759984687,0.0013357953496275637
cds-NP_308971.1,308971.1,0.002350700592779538,0.002550394844379911,0.002380404546165447,11,-5.64260718426144e-06,-1.8142057246201655e-05,1.0826509869641152e-06,7.935254192297059e-05,0.00023214197488323135,-1.4185832745262152e-05,0.00017934892516052598,-6.18766286244614e-05,0.0006228262759984687,0.0013357953496275637
cds-NP_308826.2,308826.2,0.002350700592779538,0.002550394844379911,0.002380404546165447,12,-5.64260718426144e-06,-1.8142057246201655e-05,1.0826509869641152e-06,7.935254192297059e-05,0.00023214197488323135,-1.4185832745262152e-05,0.00017934892516052598,-6.18766286244614e-05,0.0006228262759984687,0.0013357953496275637
cds-NP_308450.2,308450.2,0.002350700592779538,0.002550394844379911,0.002380404546165447,13,-5.64260718426144e-06,-1.8142057246201655e-05,1.0826509869641152e-06,7.935254192297059e-05,0.00023214197488323135,-1.4185832745262152e-05,0.00017934892516052598,-6.18766286244614e-05,0.0006228262759984687,0.0013357953496275637
cds-ECs_2321,2321,0.001993960161354472,0.002185554102592837,0.0020359128695856582,14,-7.164709301641706e-06,-1.5566668903640288e-05,-2.1361823890868018e-06,6.551972481286081e-05,0.00018559198886292588,-1.4590577173371768e-05,0.00014640227258300623,-5.633883285144194e-05,0.0005327620440050321,0.0011594811017098293
cds-ECs_4023,4023,0.001962868882150307,0.0019844790783359345,-0.0015267334476694232,15,-1.0805098092813783e-05,0.0017002468972283457,0.00013677623342193295,1.9492548034207017e-05,6.700476108015032e-05,1.4950034633433778e-05,1.9355273599330505e-05,1.0111685013878276e-05,7.233630930037906e-07,5.013184138837989e-06
cds-NP_308701.1,308701.1,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,16,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_310922.1,310922.1,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,17,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_312864.1,312864.1,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,18,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_311386.1,311386.1,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,19,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_309317.2,309317.2,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,20,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_311842.2,311842.2,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,21,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_308036.1,308036.1,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,22,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_312504.1,312504.1,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,23,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_312338.1,312338.1,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,24,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_310082.1,310082.1,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,25,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_313223.1,313223.1,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,26,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_312385.2,312385.2,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,27,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_311834.1,311834.1,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,28,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_310597.1,310597.1,0.0019628688821503064,0.001984479078335934,-0.001526733447669424,29,-1.0805098092813783e-05,0.0017002468972283462,0.00013677623342193295,1.9492548034207078e-05,6.700476108015033e-05,1.4950034633433778e-05,1.9355273599330515e-05,1.0111685013877955e-05,7.233630930041027e-07,5.0131841388371425e-06
cds-NP_308530.1,308530.1,0.0018955862590931156,0.003049167365648478,-0.000184597560079016,30,0.0001643716303877917,-8.729969009891762e-05,0.0011294519809776646,0.0011530292152539653,-0.00045697856537542695,-3.251229780333668e-05,1.1009835931474061e-05,6.874682234354721e-06,5.352629951073369e-06,2.2868376344728763e-06
