gene,gene_clean,signed_score,abs_score,signed_score_rawsign,rank_positive,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
ybgO,ybgO,0.0018805456147884825,0.0021622582501042292,-0.0006476183828651273,1,0.00057707549918552,0.0006424108654787635,0.000548088899077316,0.00010499796560736219,-1.9016196765981118e-07,-1.9951360997375577e-06,7.306117075927147e-05,7.57675323381227e-05,-6.988098274126144e-05,-6.879003684921465e-05
yagX,yagX,0.0014868229789416843,0.0021634887394014484,0.0002512124911326534,2,0.0004891232246610819,-7.207545413171909e-05,9.497479521237494e-05,0.0006461519364742499,0.0003140982843660801,0.00019414829394831854,-0.00013192484053265073,8.665932450946095e-05,-9.274454305934662e-05,-4.158804250616559e-05
yjhA,yjhA,0.0013979982105029813,0.0018244700354854376,-0.0006644768252466693,3,0.00032932882740017684,0.00017025828945837064,0.00026260761215178894,0.0002506677777192074,0.00021595769873209298,0.00018419556844799113,-8.919018996161377e-05,0.00019821834908458156,-6.519730649492545e-05,-5.8848416034689e-05
yjcS,yjcS,0.0013158069280857997,0.001879498675807452,-0.00024876144599519196,4,0.00041621212375067974,4.4488969934230865e-05,0.0001498447565680449,0.00039915649115545036,0.000235596399786044,0.00018246580823258696,-0.00011183650399966369,0.00016988825251958926,-9.506084819025358e-05,-7.494852167090878e-05
ilvI,ilvI,0.0013104015826503315,0.0021905901428851664,-0.00042144760939786526,5,0.00042553513784178296,0.0006762903641678615,0.0005071261454611096,-5.5029614533154715e-05,-0.00014724218738979838,-0.00010886066674543883,0.00014154421529699512,-6.138905946963538e-05,-3.453574283842918e-05,-3.303700914096086e-05
torY,torY,0.001294866741053173,0.001681616552952454,0.00013546283807922585,6,0.0003900117238070678,0.0004928291708192247,0.0001569315982315847,-8.343719624336467e-06,1.1450780616667361e-05,4.133674090782787e-05,0.0002947939908300445,-0.00012284633908833098,0.00010088764179039672,-6.218484723697292e-05
mfd,mfd,0.0012129304577095685,0.001365874526477933,0.00015976545645680207,7,0.00043793275358665595,0.00017406656217013432,-3.644107968864918e-05,5.4771886429565425e-05,0.00019409773376125494,0.00023489023907917624,2.7484387741243152e-05,-4.003095469553316e-05,0.00010799161497985239,5.816731434586832e-05
insF-4,insF-4,0.0011692120572444722,0.0017667957896003045,-0.00027253664318945567,8,0.0004206237561065302,0.0004978810079711789,0.0003734199783667358,-8.174927486117568e-05,-0.00012750122560627872,-8.954136571046169e-05,7.477423232334356e-05,6.66159551957896e-05,3.463452452858733e-05,5.446893022283748e-08
atoB,atoB,0.0011633328856839233,0.0014841715396781206,-0.0005770389074617219,9,0.0002459820425349598,0.00013443769874352867,0.00023102423243446648,0.00020758427357323953,0.00018288562558801532,0.00016242627790586276,-6.348818206088907e-05,0.00015941206190094937,-4.2585246058866465e-05,-5.434589887734314e-05
racC,racC,0.0011386315590250033,0.0019478037892817679,-0.0003448408719389819,10,0.00037655427836429995,0.0006038412033110615,0.00043703987624941766,-3.999434795815894e-05,-0.00013679464479380527,-0.00010977413153351782,0.0001257823162286066,-5.2576087751163384e-05,-3.440695946278847e-05,-3.1039943628948315e-05
csgG,csgG,0.0011316312676918627,0.0014109341028209466,-0.0005656254653769331,11,0.0002086124528555919,0.00013071861781245432,0.00021262926347347447,0.0002140418658664149,0.0001802180354187103,0.00013615205322393826,-6.0497880809707e-05,0.00018891039660582056,-6.453939353447538e-05,-1.4614143220359691e-05
ydeQ,ydeQ,0.0010426298864180837,0.0011939848941266529,-0.000377991710900943,12,0.00026681908564861917,0.0003813364821782379,0.00026039759578756685,8.427957720068805e-05,2.343735431142278e-05,-1.016462268224597e-05,4.6733306081301744e-05,5.530398906453194e-05,-3.4127112974395254e-05,-3.1385768197643286e-05
yieP,yieP,0.0009287379206548638,0.0012092090851073991,-0.0003142280297045744,13,0.0002838292190146967,0.00011601200207512878,0.00013107788712638635,0.00016366130868671554,0.00013113033539782765,0.00013992848682754984,-8.475504622500585e-05,0.0001033342637528265,-2.1268437132819725e-05,-3.4212098868442015e-05
chpR,chpR,0.0009002359777386831,0.0011348198859603737,-2.114045245149877e-05,14,0.00026166293102271234,7.924517963846608e-05,6.002586894863262e-05,7.232310269906977e-05,-1.5078463280759294e-05,0.0001361768454817215,-0.00010221349083008596,0.00020031878430703005,8.110043687206918e-05,0.00012667478287982687
ycfZ,ycfZ,0.0008625198358329456,0.0010888917772934798,-0.0003437436741425494,15,0.00023034812915551168,8.508635184269428e-05,0.00017881777866971462,0.0001422259224199535,0.00013842484344154282,0.00012820841359053594,-5.8545149829670924e-05,7.25943674432598e-05,-3.0405949715570036e-05,-2.4234871185026122e-05
recB,recB,0.0008522794884380277,0.001255210302207143,-0.0003647672395600906,16,0.0002904646066632812,0.00039344845589635454,0.0003123689809212141,-5.847334994076565e-05,-6.20404572720246e-05,-3.4279669324335595e-05,5.746285184173549e-05,-9.73946222149269e-07,-3.464764855058262e-05,-1.1050335574699836e-05
yjfO,yjfO,0.0008402137605335545,0.0013266794259265023,0.0005102422682659601,17,-3.5860101225764206e-05,-2.3323629228576134e-05,3.378327717501053e-05,4.913221178516823e-06,-1.0249646442821129e-05,0.00010293457735224197,0.00011218732192562255,6.184116727794197e-05,0.0007677870283206944,-0.00017379945579931236
