gene,gene_clean,signed_score,abs_score,signed_score_rawsign,rank_positive,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10
ompL,ompL,0.0015433608282855614,0.002067604407696187,-0.00044978640674915024,1,9.807820931388905e-05,-2.0236955115082002e-05,-0.00013524653212385024,-1.5425494794245256e-06,7.694095014942843e-05,0.00022981250857590128,-0.00010509575298695593,0.00035414302500226557,0.00033606491286415006,0.0007104430120852399
ybhO,ybhO,0.001412081573036866,0.001910282937243905,-0.000504718115817901,2,6.139098138167885e-05,-7.889369821290267e-05,-8.718329473140502e-05,3.189594342523412e-06,0.00010564301202163022,0.00018872054585333632,-8.302368915921183e-05,0.00029075349610587235,0.0002800422658525838,0.0007314423595827605
hypB,hypB,0.0013902409167023495,0.0015403200057019285,-0.0002688999794312388,3,0.00019484105981218799,0.00024042783433859892,0.0002952350674617281,8.194086886415635e-05,0.000386476409267156,-5.44041219510394e-05,-8.715420377952135e-06,0.00012499846331267872,0.00014136075814563299,-1.1920002170797915e-05
yccT,yccT,0.001378478939643895,0.0020561257571688747,-0.0009096786076925039,4,0.00014646870366876987,-3.8187295075529324e-05,-0.0001143366627920129,-1.1112196025554834e-06,0.00015731065983494178,-4.9712549646694046e-05,0.0009831756968594282,0.00025198067474563253,0.0001783666132976122,-0.00013547568164569795
ybbM,ybbM,0.001331043433593466,0.0019311274819997124,-0.0005348555324273011,5,3.7321678301388124e-05,-9.74256733182422e-05,-0.00011150838355119821,-1.838268090637532e-05,9.326500076089541e-05,0.00019286305616298422,-7.272528642730744e-05,0.00027941759966990836,0.0002643585032391965,0.0007638596196622167
cyoA,cyoA,0.0013106598015876513,0.002019893589248363,-0.0010202520021101752,6,0.00017382625317995335,7.820102784960483e-05,-0.000100560324911431,-2.42022356434845e-05,0.00013529280118332928,-8.443540060250302e-05,0.0009382851453909748,0.0001563733720727187,0.00018329809574142605,-0.00014541893267293725
ygbT,ygbT,0.0013004576106732803,0.002144092186654294,-2.9286060468986484e-05,7,0.0004319577549076551,-0.00016390688008205483,-0.00015782583241887827,-2.630388313679666e-05,0.00010585935520609066,0.00018020583085873006,-7.378069235277708e-05,0.00018124802175464,0.00016690338366629322,0.000656100552270378
yjdL,yjdL,0.0012969221824234729,0.001909370606054567,-0.0008719902608255714,8,0.0002364772429815597,7.74436969833631e-05,-0.00013207343636008136,-2.5175207527611817e-05,5.547293358762052e-05,-6.126480637685017e-05,0.0009003362801711975,0.00016932696055432255,0.00016408927996095665,-8.771076155100387e-05
rpiR,rpiR,0.0012875219818085342,0.0016212373935728518,-0.00038168098067592563,9,0.00017065551069769103,-5.850164545713911e-05,-0.0001083560604250196,6.675405808026734e-06,0.00011362838573652507,0.00014982152564216962,8.999577696029976e-05,0.00024079952465146334,0.00020113149389059336,0.00048167206430392416
ydeU,ydeU,0.0012656905234997757,0.001917128019882578,-0.00023218868468760645,10,0.00014216930454025853,-0.00016100401394053372,-8.502987078651932e-05,-1.3402475837715926e-05,7.349231527273409e-05,0.00019460498964188702,-6.628238762663214e-05,0.00026500649601045843,0.0002421929147453266,0.0006739432514805122
