file_name,category,GMP_Cor,cutoff,n_genes_kept,n_pos_scores,n_neg_scores,n_per_pole,modes_flipped,sign_agreement_vs_raw,spearman_vs_raw,n_terms_pos,n_terms_neg,n_terms_abs50,terms_pos,terms_neg,terms_abs50,new_vs_abs50
Expira_biorep_t0A_filtered.csv,r,32.719418,50,1997,786,1211,50,3,0.6204306459689535,0.27862979211074546,0,0,0,,,,
Expira_biorep_t0A_filtered.csv,r,32.719418,100,1997,786,1211,100,3,0.6204306459689535,0.27862979211074546,0,0,0,,,,
SHX_biorep2A.csv,d,9.602742,50,1997,861,1136,50,5,0.45768652979469204,-0.07024579804922641,0,0,0,,,,
SHX_biorep2A.csv,d,9.602742,100,1997,861,1136,100,5,0.45768652979469204,-0.07024579804922641,0,0,0,,,,
SHX_biorep2B.csv,d,1.365394,50,1998,904,1094,50,6,0.4934934934934935,-0.06340177476697163,0,0,0,,,,
SHX_biorep2B.csv,d,1.365394,100,1998,904,1094,100,6,0.4934934934934935,-0.06340177476697163,0,0,0,,,,
SHX_biorep4A.csv,d,2.976518,50,1997,930,1067,50,3,0.6664997496244367,0.45377263034367454,0,0,0,,,,
SHX_biorep4A.csv,d,2.976518,100,1997,930,1067,100,3,0.6664997496244367,0.45377263034367454,3,0,0,regulation of translation; translation; cytoplasmic translation,,,cytoplasmic translation; regulation of translation; translation
SHX_biorep6A.csv,d,7.026156,50,1998,982,1016,50,5,0.5505505505505506,0.10699496749657533,0,0,0,,,,
SHX_biorep6A.csv,d,7.026156,100,1998,982,1016,100,5,0.5505505505505506,0.10699496749657533,0,0,0,,,,
VapC_biorep_t2A_filtered.csv,r,27.848066,50,1797,1144,653,50,5,0.48580968280467446,0.0025982771357073477,0,0,0,,,,
VapC_biorep_t2A_filtered.csv,r,27.848066,100,1797,1144,653,100,5,0.48580968280467446,0.0025982771357073477,0,0,0,,,,
VapC_biorep_t5A_filtered.csv,r,13.132393,50,1797,1134,663,50,4,0.5982192543127435,0.23643500915345098,0,0,2,,,cytoplasmic translation; translation,
VapC_biorep_t5A_filtered.csv,r,13.132393,100,1797,1134,663,100,4,0.5982192543127435,0.23643500915345098,0,0,2,,,cytoplasmic translation; translation,
VapC_biorep_t5B_filtered.csv,r,29.985002,50,1798,1487,311,50,4,0.7903225806451613,0.5095196788622356,0,6,6,,cytoplasmic translation; translation; ribosomal large subunit assembly; ribosomal small subunit assembly; response to antibiotic; regulation of translation,cytoplasmic translation; translation; ribosomal large subunit assembly; ribosomal small subunit assembly; regulation of translation; response to antibiotic,
