sigma_mode,repeat,ratio_a,n_cells_a,n_cells_b,gmp_cor,gmp_cor_per_gene,lambda_max,lambda_max_scrambled,n_modes_above_threshold,p_kept,fraction_non_zero,gmp_cor_group_centered,gmp_cor_group_centered_per_gene,d_gmp,auc_group_axis,cohens_d,silhouette,best_pc_auc,best_pc_index,group_mode_index,group_mode_alignment,group_mode_eigenvalue,bimodality_coef,gmm_bic_gain,n_genes_dz_gt_0.5
shared,0,0.0,0.0,1000.0,42.81270831108125,0.021406354155540624,24.283846875639668,5.892098872428882,18,2000,0.042196196196196196,42.99951470962078,0.02149975735481039,-0.0043633399032403375,,,,,,,,,,,
shared,0,0.5,500.0,500.0,68.56917900927644,0.03428458950463822,32.11417372392763,5.8399917676520285,23,2000,0.04201603206412825,44.30404816161523,0.022152024080807613,0.353878100893967,0.999998,10.13837722691116,0.620035531186399,0.999998,0.0,0.0,0.9962958234046169,32.11138071453775,0.8910764493049022,1895.430198338463,69.0
shared,0,1.0,1000.0,0.0,42.640962697832975,0.021320481348916488,22.06862909290429,5.9252358840688855,22,2000,0.041148797595190384,43.72127182313507,0.021860635911567533,-0.025335007864561998,,,,,,,,,,,
shared,0,dysregulated_reference,,,3.7911386830921137,0.0018955693415460568,8.348386737159666,5.891332288345155,8,2000,0.040927354709418835,,,,,,,,,,,,,,
shared,1,0.0,0.0,1000.0,40.72635866737308,0.02038356289658312,22.5412313206738,5.867968784229334,22,1998,0.041473634438458556,40.91073935128576,0.020475845521164045,-0.004527305900794865,,,,,,,,,,,
shared,1,0.5,500.0,500.0,66.02272812314315,0.033011364061571576,32.60990508842539,5.88310080383483,21,2000,0.041551654964894685,42.210148433316775,0.021105074216658387,0.36067245881466814,0.999996,9.979434223810111,0.6358983551759209,0.999996,0.0,0.0,0.9959926910842232,32.60553811020148,0.8895795761304954,1860.1071712460107,71.0
shared,1,1.0,1000.0,0.0,46.09495454945642,0.02304747727472821,24.34200078863934,5.854027532538596,20,2000,0.04118637274549098,45.85148692186051,0.022925743460930258,0.005281871518816317,,,,,,,,,,,
shared,1,dysregulated_reference,,,4.475844575672822,0.002239041808740781,7.800945826403987,5.949346204096975,8,1999,0.04133272666483996,,,,,,,,,,,,,,
shared,2,0.0,0.0,1000.0,48.78750830948846,0.024405957133310886,25.97103593446221,5.882819676624976,21,1999,0.04235567783891946,49.0382831348114,0.024531407271041222,-0.005140144147803616,,,,,,,,,,,
shared,2,0.5,500.0,500.0,70.94682436369251,0.035473412181846256,32.19942010705375,5.891978002680835,20,2000,0.04195245245245245,48.526397904300254,0.024263198952150126,0.3160173363709575,1.0,10.007330358072291,0.618805793282081,1.0,0.0,0.0,0.9967302648124126,32.19802124787008,0.8861942513552983,1855.6063379219977,68.0
