cell,subpopulation,label,umap_1,umap_2,pc_1,pc_2,group_axis_projection
0,A,0,5.337001800537109,8.229301452636719,6.239789834265424,-1.0322110979803305,6.294221144968046
1,A,0,4.018543243408203,5.401231288909912,5.62807743525399,-0.8187847616313808,5.60236890419702
2,A,0,4.336888313293457,8.965821266174316,6.558237218427988,-2.104396796099997,6.413482931241892
3,A,0,4.188141345977783,7.384690761566162,5.513601722798364,-1.686412640453798,5.559632726954144
4,A,0,3.217855215072632,6.042407989501953,5.915968494233276,-2.8982952527712245,5.837169200930927
5,A,0,5.389254570007324,5.36673641204834,4.330128531718514,-2.1175807612170017,4.493216394894681
6,A,0,1.7767400741577148,6.873482704162598,6.992967373535465,6.694037490701337,7.0324094107627575
7,A,0,3.248992443084717,5.580783843994141,7.623862519042914,0.7563169581846864,7.421317230445705
8,A,0,3.3117568492889404,6.80361270904541,5.970938514640634,1.4778447464301738,5.989719502017093
9,A,0,5.303933620452881,5.8412089347839355,3.735044225672076,-1.7655999094102324,3.92378401860224
10,A,0,4.191520690917969,9.174677848815918,7.101813319041996,4.369898713758926,7.016219171872346
11,A,0,3.333341121673584,6.349572658538818,6.187123781385053,-0.955883546365762,6.074869301336733
12,A,0,5.479678153991699,7.095722675323486,5.7579971738935,-3.1650453533553624,5.6550863837733125
13,A,0,1.843150019645691,7.038498878479004,4.906638502132975,8.762439969871934,5.209878286405143
14,A,0,3.229851245880127,8.481335639953613,5.129317376428042,-0.9401517258032844,5.117202868401444
15,A,0,4.729360103607178,7.50378942489624,5.229288482289196,-2.689754553057639,5.180980175953131
16,A,0,3.15982985496521,7.408292770385742,6.210094104520203,-1.8283416181547372,6.074002948495657
17,A,0,0.9777620434761047,7.044807434082031,4.585951050867697,15.267236035134479,5.0286456061631615
18,A,0,3.689319133758545,7.634981632232666,6.309386684217586,-2.714847570189944,6.134347879654248
19,A,0,4.581597805023193,5.397312164306641,6.494205901887731,0.531559391625011,6.389416754648106
20,A,0,5.248724460601807,8.17862319946289,4.855657115058731,-2.927041994920034,4.947865184439429
21,A,0,5.840642929077148,5.244955539703369,1.651491017446012,-1.1815277313698656,1.8731004877571067
22,A,0,4.8148298263549805,5.487654685974121,3.8162015507932834,-2.736754460538497,3.945337334440005
