rho	repeat	gmp_cor
0.0	0	0.38466047391593605
0.0	1	0.03634703477217727
0.0	2	26.26114328669987
0.0	3	0.07272470437758827
0.0	4	0.0
0.0	5	0.0
0.0	6	0.0
0.0	7	0.6920269787508566
0.0	8	0.0
0.0	9	0.0
0.05	0	0.05085928123829042
0.05	1	0.08561725818040689
0.05	2	22.19313548480337
0.05	3	0.3233429361571458
0.05	4	0.0
0.05	5	0.3029929405150398
0.05	6	0.14019847054266066
0.05	7	0.0
0.05	8	0.5139439693497998
0.05	9	0.0
0.1	0	0.0
0.1	1	0.663758910338764
0.1	2	21.369409537628364
0.1	3	0.0357540070808024
0.1	4	0.0
0.1	5	0.0
0.1	6	0.0
0.1	7	0.1147072328576799
0.1	8	0.0
0.1	9	0.0
0.15	0	0.0
0.15	1	0.10534669798634866
0.15	2	12.669126054237555
0.15	3	0.0
0.15	4	0.0
0.15	5	0.0
0.15	6	0.24242059624053702
0.15	7	0.0
0.15	8	0.04532676594911145
0.15	9	0.0
0.2	0	0.0
0.2	1	0.3551108011116541
0.2	2	11.973026967814382
0.2	3	0.0284057531301566
0.2	4	0.0
0.2	5	0.0
0.2	6	0.0
0.2	7	0.0062840762971205
0.2	8	0.0
0.2	9	0.0
0.25	0	0.19937169899733043
0.25	1	0.0
0.25	2	18.501865065643457
0.25	3	0.07074535185287179
0.25	4	0.0
0.25	5	0.0
0.25	6	0.6695688110321827
0.25	7	0.0
0.25	8	0.0
0.25	9	0.0
0.3	0	0.2244790219232761
0.3	1	0.0
0.3	2	16.13959971685943
0.3	3	0.3199010084505058
0.3	4	0.0783558407864593
0.3	5	0.0
0.3	6	0.5589751234637461
0.3	7	0.0857455225371675
0.3	8	0.1807952179384964
0.3	9	0.0
0.35	0	0.023073372035014472
0.35	1	0.0
0.35	2	17.44057759068962
0.35	3	0.0543163948800407
0.35	4	0.0
0.35	5	0.0
0.35	6	1.3595301178638861
0.35	7	0.19427103988451577
0.35	8	0.0
0.35	9	0.0
0.4	0	0.297046181842644
0.4	1	0.0
0.4	2	15.3553943314791
0.4	3	0.0
0.4	4	0.0
0.4	5	0.004222817013944
0.4	6	1.9564263551571832
0.4	7	0.2187422019601843
0.4	8	0.9461760722675044
0.4	9	0.0
0.45	0	0.2872822250120306
0.45	1	0.10569393582301156
0.45	2	22.7092692506617
0.45	3	0.01517862474415832
0.45	4	0.536384494870008
0.45	5	0.0
0.45	6	0.573736589836777
0.45	7	0.0
0.45	8	0.9688456602742717
0.45	9	0.0
0.5	0	0.8150434516859191
0.5	1	0.221110717230883
0.5	2	25.823916480435766
0.5	3	0.1962087890159578
0.5	4	0.6259580928666502
0.5	5	0.6111058784308661
0.5	6	1.9030155897388528
0.5	7	0.5380425623672531
0.5	8	1.705106223640363
0.5	9	0.2464622293799347
0.55	0	2.391855444859532
0.55	1	2.16991385458597
0.55	2	19.692029402929982
0.55	3	2.265705448224355
0.55	4	0.46874394575334843
0.55	5	0.9360224525266831
0.55	6	3.4351608548195482
0.55	7	1.2105143881392832
0.55	8	2.889768657852489
0.55	9	1.3169502002422835
0.6	0	3.812107119293999
0.6	1	3.4554677191457914
0.6	2	22.13202315804737
0.6	3	3.8161842001924775
0.6	4	1.940568796880488
0.6	5	1.8778291259079216
0.6	6	4.798807338159991
0.6	7	2.625381495077754
0.6	8	4.330881201169937
0.6	9	1.3541455917776757
0.65	0	4.987271913160008
0.65	1	4.373358131615638
0.65	2	22.591829260881298
0.65	3	4.0668187050920235
0.65	4	4.166521853878707
0.65	5	3.0920657195078247
0.65	6	5.236094721201952
0.65	7	2.59051611470999
0.65	8	6.373305101565655
0.65	9	2.850338564125196
0.7	0	6.506707354006156
0.7	1	6.322168840677369
0.7	2	25.436439403304032
0.7	3	5.188639316293384
0.7	4	5.441869148908724
0.7	5	5.123194825201899
0.7	6	8.283024939341367
0.7	7	5.594863319996779
0.7	8	7.956318113845308
0.7	9	4.000849184879281
0.75	0	11.588966984200681
0.75	1	8.793156513277545
0.75	2	41.2330757736422
0.75	3	11.489475096552798
0.75	4	7.792949997099589
0.75	5	8.003750341557865
0.75	6	10.063478749589816
0.75	7	9.029834492337748
0.75	8	12.355287593754575
0.75	9	8.542416435321595
0.8	0	19.717003171449576
0.8	1	18.14268249317644
0.8	2	42.40902158199122
0.8	3	14.261756383249375
0.8	4	14.146173828029918
0.8	5	13.536879995101948
0.8	6	22.957742176880245
0.8	7	12.346839237782078
0.8	8	19.63386564524189
0.8	9	10.149285291338732
0.85	0	28.300124308260536
0.85	1	20.291409667689656
0.85	2	51.99623939447439
0.85	3	22.251403255056395
0.85	4	24.475155801654456
0.85	5	20.963148571799884
0.85	6	25.52701526888546
0.85	7	26.376424530657822
0.85	8	31.24397296952765
0.85	9	23.92983388207813
0.9	0	46.461111701748735
0.9	1	35.32713415065698
0.9	2	76.24314987286085
0.9	3	36.358640432165565
0.9	4	38.631269795315134
0.9	5	32.34151079689892
0.9	6	38.50407613192526
0.9	7	31.25031252845305
0.9	8	46.11554987509773
0.9	9	35.09560734050334
0.95	0	72.19785204844126
0.95	1	66.46517284713593
0.95	2	106.38208111497865
0.95	3	64.05293184366178
0.95	4	58.54088752188159
0.95	5	65.44640229846287
0.95	6	68.93910024348455
0.95	7	69.57971198199706
0.95	8	78.575993703914
0.95	9	61.47557268542044
1.0	0	168.26561814062677
1.0	1	148.54062161601576
1.0	2	201.7708394389344
1.0	3	147.78253498179384
1.0	4	142.8897887994876
1.0	5	139.1892052836376
1.0	6	157.24022356326873
1.0	7	151.34697088085906
1.0	8	171.6657618271185
1.0	9	151.56368817620145
