# GMP-Cor calibration sweep (rep=2 / count_seed=33 excluded)
# n_cells=1000  n_genes=2000  dropout_rate=1  shape=1.5  hub_probability=0.2  sigma_seed=31
rho	median     std
                  
0.00    0.000   0.244
0.05    0.086   0.183
0.10    0.000   0.218
0.15    0.000   0.083
0.20    0.000   0.117
0.25    0.000   0.222
0.30    0.086   0.187
0.35    0.000   0.446
0.40    0.004   0.667
0.45    0.106   0.347
0.50    0.611   0.629
0.55    2.170   0.973
0.60    3.455   1.207
0.65    4.167   1.230
0.70    5.595   1.382
0.75    9.030   1.698
0.80   14.262   4.184
0.85   24.475   3.521
0.90   36.359   5.403
0.95   66.465   5.962
1.00  151.347  10.863
