arm,n_cells,repeat,mean_depth,mean_detected,gmp_cor,gmp_cor_per_gene,lambda_max,lambda_max_scrambled,n_modes_above_threshold,p_kept,fraction_non_zero
experimental (sample_2b),500,0,149.046,101.618,25.22533984075413,0.012263169587143477,23.0117586907801,9.503457718173522,14.0,2057,0.049401069518716575
experimental (sample_2b),500,1,142.392,97.438,27.77314043111881,0.013482107005397481,22.734762864468042,9.578802814761806,17.0,2060,0.0473
experimental (sample_2b),500,2,142.994,98.046,20.549280056648477,0.00997537866827596,22.96589755531002,9.815713589823917,11.0,2060,0.04759514563106796
experimental (sample_2b),500,3,147.72,102.508,27.14475115877513,0.013170670140114086,22.91456505603403,9.607276600923388,14.0,2061,0.049737020863658415
experimental (sample_2b),500,4,146.54,99.578,25.601249151575807,0.012464094036794453,23.21791378457967,9.584640586642875,13.0,2054,0.04848003894839338
experimental (sample_2b),600,0,146.39333333333335,99.70833333333333,27.515795777714036,0.013337758496225902,21.40039628200583,8.430862117175074,17.0,2063,0.04833171756341897
experimental (sample_2b),600,1,152.02,104.87833333333333,35.828665404669884,0.01738411712987379,22.01589915107007,8.413180639159284,21.0,2061,0.05088710981724082
experimental (sample_2b),600,2,148.85333333333332,101.70166666666667,28.699574948086074,0.013904832823685114,20.97725572609616,8.460675311309533,17.0,2064,0.04927406330749354
experimental (sample_2b),600,3,148.26833333333335,101.85,26.693756745460156,0.01294556583193994,21.841749233999394,8.55021746004508,16.0,2062,0.049393792434529585
experimental (sample_2b),600,4,147.05833333333334,100.59166666666667,23.103511123153197,0.011177315492575324,20.658208471923977,8.75027541232797,15.0,2067,0.04866553781648121
experimental (sample_2b),700,0,143.39,98.08428571428571,25.288400754972894,0.012228433633932735,20.295741354994156,7.712725687243799,19.0,2068,0.047429538546559825
experimental (sample_2b),700,1,151.77,103.55428571428571,28.354512324298277,0.013717712783888862,21.68874411209718,7.720436377640252,18.0,2067,0.05009883198562444
experimental (sample_2b),700,2,150.77285714285713,102.72571428571429,27.700428965270085,0.013388317527921743,21.12300720008565,7.827696360029201,18.0,2069,0.04964993440585514
experimental (sample_2b),700,3,146.2957142857143,100.60857142857142,27.461317063267344,0.013279166858446491,20.79479366377148,7.736550078568963,18.0,2068,0.048650179607626416
experimental (sample_2b),700,4,147.5157142857143,101.43571428571428,32.0798085346793,0.015512479949071229,20.669178821505742,7.701148610132835,21.0,2068,0.04905015197568389
experimental (sample_2b),800,0,145.355,99.48375,33.71099372970334,0.01629337541309973,20.37214036191141,6.942225584134768,24.0,2069,0.04808301111648139
experimental (sample_2b),800,1,146.4,100.1775,27.010903216209933,0.01305505230362974,21.292001890561565,7.3241178343859215,15.0,2069,0.04841831802803287
experimental (sample_2b),800,2,144.83875,99.26875,33.637817065943764,0.01625015317195351,20.73326590483961,6.993768019070828,21.0,2070,0.04795591787439613
experimental (sample_2b),800,3,147.93,100.59625,31.97657788046724,0.015462561837750115,20.227149673008135,7.068691347119793,22.0,2068,0.048644221470019344
experimental (sample_2b),800,4,145.17,99.72375,24.21862403192364,0.01172247048979847,21.029546279758375,7.3985775726770955,15.0,2066,0.04826899806389158
experimental (sample_2b),900,0,146.9922222222222,100.75666666666666,30.11839580592009,0.01456402118274666,19.891997162266847,6.722883528728947,19.0,2068,0.04872179239200516
experimental (sample_2b),900,1,148.8322222222222,101.74222222222222,29.999752927090043,0.014499638920778175,19.94209148882811,6.741264078227573,20.0,2069,0.049174587830943556
experimental (sample_2b),900,2,142.24,97.60555555555555,33.10762994102326,0.01598630127524059,19.68940094960349,6.575550671516693,23.0,2071,0.04712967433875208
